,Player,Team,SAVID,$,PA,PA 600,AB,R,HR,RBI,SB,AVG,OBP,SLG,K,BB,H,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
452,Christian Moore,LAA,695681.0,4.23,258.0,600,553,60,13,58,9,0.209,0.269,0.329,174,37,116,850,404.0,495.0185185185185,336.0,68.0
453,Chris Taylor,LAD,621035.0,5.0,248.0,600,532,62,16,60,7,0.213,0.3,0.357,195,60,113,919,368.5,544.0,431.0,-62.5
454,Chase Meidroth,CWS,805367.0,5.33,292.0,600,511,59,12,59,11,0.237,0.348,0.358,115,73,121,959,310.5,541.15,420.5,-110.0
458,Chas McCormick,HOU,676801.0,8.33,374.0,600,537,60,20,60,21,0.239,0.315,0.409,154,51,128,1052,147.5,445.8820224719101,290.0,-142.5
459,Curtis Mead,TB,678554.0,7.46,168.0,600,535,71,14,71,10,0.235,0.315,0.36,135,50,125,974,292.0,537.3958333333334,406.0,-114.0
460,Rowdy Tellez,SEA,642133.0,12.51,180.0,600,540,93,20,103,3,0.225,0.299,0.387,133,53,120,1062,131.0,557.1538461538462,472.0,-341.0
461,Rob Refsnyder,BOS,608701.0,7.56,220.0,600,526,68,16,65,5,0.262,0.351,0.405,144,62,139,1031,189.0,560.0769230769231,478.0,-289.0
462,Taylor Walls,TB,670764.0,6.52,229.0,600,529,60,10,57,30,0.192,0.287,0.296,154,68,102,928,351.0,550.75,455.0,-104.0
463,Ben Rice,NYY,700250.0,10.65,158.0,600,527,79,30,79,7,0.231,0.32,0.453,155,56,121,1087,97.5,508.8955223880597,347.0,-249.5
464,Ben Rortvedt,TB,666163.0,3.68,230.0,600,526,57,13,54,3,0.2,0.297,0.307,153,65,104,820,408.0,542.2727272727273,427.0,-19.0
465,Blake Perkins,MIL,663368.0,7.39,239.0,600,534,65,12,60,22,0.218,0.303,0.335,150,62,117,964,302.5,517.3178294573644,370.0,-67.5
466,Blaze Alexander,ARI,677942.0,4.05,153.0,600,537,58,11,54,10,0.214,0.294,0.319,152,47,113,869,401.0,564.8333333333334,485.0,-84.0
467,Bryan De La Cruz,ATL,650559.0,5.33,225.0,600,562,53,21,53,6,0.247,0.292,0.41,149,34,138,940,333.5,430.1123595505618,281.0,52.5
468,Seth Brown,OAK,664913.0,5.88,301.0,600,552,65,19,67,7,0.228,0.288,0.4,163,43,125,939,336.0,466.5217391304348,306.5,29.5
472,Bryan Ramos,CWS,682868.0,8.12,172.0,600,540,73,20,73,9,0.252,0.319,0.417,132,41,136,1035,176.0,552.2941176470588,463.0,-287.0
473,Austin Slater,CWS,596103.0,5.26,221.0,600,521,59,13,57,9,0.234,0.331,0.352,168,65,122,920,365.5,513.0,359.0,6.5
474,Tyler Black,MIL,672012.0,4.96,200.0,600,522,60,18,57,16,0.212,0.311,0.355,162,60,111,989,257.0,543.2207792207793,428.0,-171.0
475,Ty France,MIN,664034.0,6.03,422.0,600,533,69,17,68,3,0.258,0.338,0.412,118,42,137,1005,235.0,514.2456140350877,366.5,-131.5
479,Trent Grisham,NYY,663757.0,,244.0,600,521,68,24,66,10,0.21,0.31,0.398,162,68,108,1021,206.5,,,
480,Trey Sweeney,DET,700242.0,7.87,334.0,600,551,64,19,64,14,0.231,0.29,0.387,154,39,127,993,248.0,496.2705882352941,337.0,-89.0
481,Victor Scott II,STL,687363.0,9.31,325.0,600,557,68,14,66,29,0.206,0.261,0.336,155,31,114,970,298.0,429.1573033707865,280.0,18.0
482,Victor Caratini,HOU,605170.0,5.98,231.0,600,535,64,15,62,1,0.245,0.325,0.379,119,51,129,934,344.0,529.4746835443038,390.0,-46.0
483,Tyler Freeman,COL,671289.0,8.11,246.0,600,531,68,12,65,18,0.245,0.329,0.375,95,41,129,1022,203.5,568.8666666666667,491.0,-287.5
484,Caleb Durbin,MIL,702332.0,10.74,225.0,600,525,74,16,72,30,0.25,0.34,0.393,72,50,130,1150,44.0,419.7134831460674,276.0,-232.0
485,Brayan Rocchio,CLE,677587.0,5.34,502.0,600,535,64,11,56,13,0.216,0.3,0.332,130,56,115,907,379.5,440.7840909090909,286.0,93.5
486,Tyrone Taylor,NYM,621438.0,10.67,295.0,600,555,77,18,75,14,0.237,0.291,0.397,140,32,132,1037,173.0,531.5,392.0,-219.0
487,Travis d'Arnaud,LAA,518595.0,8.79,252.0,600,552,71,21,71,2,0.238,0.297,0.415,150,35,130,982,274.0,381.8876404494382,259.0,15.0
488,Brandon Drury,,592273.0,2.93,287.0,600,549,52,16,52,2,0.251,0.31,0.413,146,39,137,914,372.5,545.5294117647059,443.0,-70.5
489,Tommy Pham,PIT,502054.0,6.33,421.0,600,547,72,14,52,8,0.243,0.308,0.381,141,48,132,947,326.5,545.1212121212121,439.5,-113.0
493,Tirso Ornelas,SD,672359.0,7.49,279.0,600,546,66,19,64,6,0.235,0.302,0.39,124,49,129,976,285.0,527.6363636363636,389.0,-104.0
494,Thomas Saggese,STL,695336.0,6.31,232.0,600,556,67,15,67,7,0.23,0.284,0.37,152,31,126,931,348.5,548.804347826087,452.0,-103.5
495,Zach McKinstry,DET,656716.0,5.89,247.0,600,546,75,12,53,20,0.234,0.3,0.371,128,48,128,987,261.5,541.1076923076923,417.0,-155.5
496,Zac Veen,COL,691728.0,16.59,194.0,600,541,83,21,83,46,0.253,0.324,0.438,154,49,136,1299,9.0,533.8736842105263,398.0,-389.0
497,Yoan Moncada,LAA,660162.0,6.49,428.0,600,552,70,18,68,7,0.24,0.298,0.401,169,40,131,984,268.0,536.2121212121212,402.5,-134.5
501,Yasmani Grandal,,518735.0,8.91,173.0,600,537,72,20,69,0,0.281,0.355,0.462,128,58,152,1065,127.0,551.6,458.0,-331.0
502,Amed Rosario,WSH,642708.0,8.2,240.0,600,567,70,12,67,21,0.26,0.297,0.378,117,25,147,1021,206.5,532.1666666666666,394.5,-188.0
506,Alex Verdugo,ATL,657077.0,3.22,335.0,600,551,51,14,48,3,0.259,0.318,0.4,93,44,143,887,392.0,498.3966480446927,340.0,52.0
507,Alex Call,WSH,669743.0,6.81,218.0,600,522,63,13,60,16,0.229,0.326,0.357,110,66,121,977,283.0,566.5714285714286,488.0,-205.0
508,Adam Duvall,,594807.0,,179.0,600,553,60,33,60,2,0.269,0.325,0.536,184,40,147,1121,61.0,,,
509,Alek Thomas,ARI,677950.0,8.9,303.0,600,556,71,13,69,17,0.24,0.293,0.376,120,35,134,991,252.5,520.3333333333334,371.0,-118.5
510,Giancarlo Stanton,NYY,519317.0,10.73,284.0,600,542,80,33,82,1,0.217,0.288,0.452,188,52,118,1059,136.5,345.53370786516854,230.0,-93.5
511,Joey Bart,PIT,663698.0,6.21,367.0,600,541,62,16,65,2,0.23,0.302,0.372,174,45,124,907,379.5,262.3258426966292,180.0,199.5
