,Player,Team,SAVID,$,PA,PA 600,AB,R,HR,RBI,SB,AVG,OBP,SLG,K,BB,H,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
289,Jake Rogers,DET,668670.0,7.49,336.0,600,550,66,21,66,2,0.22,0.282,0.394,178,42,121,924,360.0,489.5084745762712,324.0,36.0
290,Jake Meyers,HOU,676694.0,6.71,426.0,600,543,63,16,61,10,0.23,0.3,0.384,140,42,125,944,328.5,475.1333333333333,313.0,15.5
291,Jake Fraley,CIN,641584.0,11.72,392.0,600,543,75,18,71,27,0.255,0.324,0.41,113,48,137,1142,46.0,403.20786516853934,272.0,-226.0
292,Ke'Bryan Hayes,PIT,663647.0,5.07,504.0,600,558,66,11,64,11,0.252,0.3,0.373,117,36,140,948,324.5,374.5730337078652,256.0,68.5
293,Justin Turner,CHC,457759.0,4.6,326.0,600,528,66,14,64,2,0.255,0.342,0.399,112,58,134,951,320.0,509.4285714285714,351.5,-31.5
297,Luis Matos,SF,682641.0,8.67,212.0,600,551,73,14,70,9,0.256,0.312,0.386,87,39,141,1003,239.5,561.1428571428571,480.0,-240.5
298,Luis Campusano,SD,669134.0,7.51,252.0,600,557,69,16,66,2,0.262,0.312,0.411,85,35,145,974,292.0,402.91011235955057,271.0,21.0
299,Leody Taveras,TEX,665750.0,9.31,339.0,600,552,72,15,61,23,0.25,0.309,0.397,127,46,138,1065,127.0,446.3426966292135,292.0,-165.0
300,Lenyn Sosa,CWS,672820.0,8.34,392.0,600,570,70,19,76,4,0.258,0.291,0.414,131,24,146,1000,244.5,469.5511363636364,311.0,-66.5
301,Gavin Lux,CIN,666158.0,4.24,550.0,600,540,55,16,55,7,0.256,0.329,0.407,132,56,138,969,299.0,358.06081081081084,242.5,56.5
305,Gary Sanchez,BAL,596142.0,7.7,249.0,600,539,67,21,67,2,0.219,0.296,0.39,159,50,118,949,322.5,521.1130952380952,372.0,-49.5
306,Gabriel Arias,CLE,672356.0,8.0,256.0,600,548,70,18,70,21,0.214,0.278,0.361,189,46,117,1018,212.5,569.6666666666666,493.0,-280.5
307,Freddy Fermin,KC,666023.0,6.18,287.0,600,556,64,12,64,4,0.252,0.304,0.371,117,37,140,919,368.5,363.96067415730334,247.0,121.5
308,Jack Suwinski,PIT,669261.0,11.43,202.0,600,519,74,23,74,20,0.21,0.311,0.389,181,71,109,1079,108.0,558.8333333333334,475.0,-367.0
309,Jace Jung,DET,690291.0,2.2,317.0,600,520,54,17,52,5,0.208,0.311,0.357,166,73,107,875,399.0,484.4971428571429,321.0,78.0
310,J.P. Crawford,SEA,641487.0,6.34,533.0,600,517,70,16,54,7,0.244,0.345,0.399,127,74,126,985,265.5,443.96045197740114,289.0,-23.5
311,J.D. Martinez,,502110.0,6.44,299.0,600,543,62,24,72,0,0.25,0.316,0.446,174,48,136,1032,186.0,555.8631578947368,471.0,-285.0
312,LaMonte Wade Jr.,SF,664774.0,5.16,448.0,600,502,75,17,53,4,0.255,0.373,0.414,123,87,127,1024,200.5,457.0449438202247,301.0,-100.5
313,Kyle Teel,CWS,691019.0,8.95,195.0,600,532,70,18,67,11,0.251,0.333,0.404,150,61,132,1054,145.0,513.2923076923076,361.5,-216.5
317,Kyle Stowers,MIA,669065.0,7.34,346.0,600,553,65,20,67,2,0.233,0.29,0.399,189,39,128,944,328.5,514.58125,369.0,-40.5
318,Masataka Yoshida,BOS,807799.0,2.55,289.0,600,548,53,14,53,4,0.281,0.341,0.432,85,37,153,960,308.5,440.17045454545456,285.0,23.5
