Name,FGID,MLBID
Jared Serna,sa3015579,691858
Dru Baker,sa3017331,681333
Trevor Story,12564,596115
J.C. Escarra,sa738605,641555
Thairo Estrada,16426,642731
Dylan Carlson,20126,666185
Creed Willems,sa3017562,695735
Javier Sanoja,28253,691594
Edmundo Sosa,17022,624641
Brooks Baldwin,31394,681460
Victor Caratini,14968,605170
Wyatt Young,sa3017081,696281
Jurickson Profar,10815,595777
Keibert Ruiz,19610,660688
Danny Mendick,18889,664901
Max Acosta,sa3014711,691185
Kenny Piper,sa3017664,700652
Mark Payton,16042,592622
Ji Hwan Bae,23818,678225
Richie Palacios,24589,680700
Jacob Young,29931,696285
Max Clark,sa3022683,703601
Brian O'Keefe,16680,657247
Alex Jackson,17276,656577
Jason Vosler,16686,613564
Tanner Murray,sa3016805,695020
Jon Berti,12037,542932
Caleb Durbin,sa3017183,702332
Blake Sabol,25805,666165
Ryan O'Hearn,16442,656811
Isaac Collins,25477,686555
David Bote,14593,623520
Carlos D. Rodriguez,sa3005478,677578
Myles Straw,17620,664702
Paul DeJong,18015,657557
Liam Hicks,sa3017400,689414
Leo Rivas,21009,660844
Ramon Laureano,17128,657656
Orlando Arcia,13185,606115
Romy Gonzalez,21562,663853
Mike Boeve,sa3022658,801670
Josh Lester,17737,623507
Tyrone Taylor,13675,621438
Luis Vazquez,23442,676679
Masataka Yoshida,31837,807799
Nick Yorke,27504,694377
Brendan Rodgers,17907,663898
Pedro Pages,25782,686780
CJ Alexander,20557,680769
Josh Kasevich,sa3020203,688460
Wade Meckler,31490,685133
Jarred Kelenic,22558,672284
Steward Berroa,22766,672642
Miguel Vargas,20178,678246
Abraham Toro,19844,647351
Joey Bart,21524,663698
Jamie Westbrook,15504,642197
Tyler Locklear,31396,682988
Nick Madrigal,20521,663611
Lenyn Sosa,22896,672820
Daniel Schneemann,25180,682177
Bryan Torres,sa885119,663494
Jakson Reetz,17837,656883
Michael Arroyo,sa3018429,703197
Milan Tolentino,sa3014544,675455
Alejandro Osuna,sa3015127,696030
Jo Adell,20220,666176
Jorge Soler,14221,624585
Devin Mann,sa3006869,669471
Yunior Severino,sa3003185,670870
Tirso Ornelas,sa3004048,672359
Logan Porter,20626,682515
Donovan Walton,19314,622268
Matthew Etzel,sa3022815,803033
Forrest Wall,16496,657088
Christian Vazquez,9774,543877
Miguel Amaya,21693,665804
Miguel Andujar,15878,609280
Weston Wilson,19358,642215
Luke Keaschall,sa3022614,807712
Zach Dezenzo,31562,701305
Sergio Alcantara,16417,642727
Cade Marlowe,25505,687799
Wynton Bernard,13408,592144
Michael Conforto,16376,624424
Rob Refsnyder,13770,608701
Yohel Pozo,18848,650968
Christian Bethancourt,10028,542194
Rafael Lantigua,sa3003219,672463
Kyle Stowers,26151,669065
Liover Peguero,24273,678894
Seth Brown,18171,664913
Ildemaro Vargas,13324,545121
Grant McCray,25690,687529
Mickey Moniak,19956,666160
Luis Campusano,22217,669134
Jesse Winker,13590,608385
Akil Baddoo,22168,668731
Cooper Ingle,sa3023069,694876
Nick Loftin,27630,679845
Matt Koperniak,sa3014834,689288
Andruw Monasterio,19455,655316
Michael A. Taylor,11489,572191
Andrew Vaughn,26197,683734
Jahmai Jones,18872,663330
Ryan Mountcastle,18373,663624
Kevin Kiermaier,11038,595281
Tyler Black,29949,672012
Sandro Fabian,19910,660758
Connor Wong,19896,657136
Nolan Schanuel,33189,694384
Ricardo Genoves,sa916844,665648
Blaine Crim,sa3010170,688760
Ryan Fitzgerald,sa3006218,680837
Kyle Higashioka,5517,543309
Christian Encarnacion-Strand,30011,687952
Kevin Alcantara,25971,682634
Tanner Morris,sa3009873,671088
Dominic Canzone,26438,686527
Jack Dunn,sa3010029,686639
Oliver Dunn,26295,686554
Drew Ellis,19873,656403
Austin Hays,19363,669720
Carlos Narvaez,19722,665966
Dane Myers,22054,667472
Rhylan Thomas,sa3020124,689041
Tyler Tolbert,sa3010337,686475
Cal Stevenson,22411,670276
Austin Shenton,25425,668853
Jorge Barrosa,23968,678489
Davis Wendzel,26469,673995
Rafael Marchan,21646,665561
Brandon Crawford,5343,543063
Trey Cabbage,21078,663550
Jud Fabian,sa3019942,682983
Michael Helman,24605,680737
Marcelo Mayer,sa3017114,691785
Juan Flores,sa3021185,808129
Rikuu Nishida,sa3023234,807747
Brewer Hicklen,20450,676551
Cooper Hummel,19458,669450
James Triantos,sa3017295,701649
Miles Mastrobuoni,20017,670156
LaMonte Wade Jr.,18126,664774
Carlos Santana,2396,467793
Jimmy Herron,sa3008183,676939
Mauricio Dubon,16530,643289
Brice Matthews,sa3022563,694728
Cooper Pratt,sa3022867,806198
Diego Velasquez,sa3016144,694196
Ruben Cardenas,sa3007505,665180
Blake Dunn,29487,694362
Armando Alvarez,19292,669137
Nate Eaton,25055,681987
Cole Conn,sa3029251,813833
Joshua Palacios,19818,641943
Charles Leblanc,19813,641779
Colt Emerson,sa3022923,806068
Javier Baez,12979,595879
Nick Sogard,25483,686765
Tsung-Che Cheng,sa3015376,691907
Eddy Alvarez,16959,657193
Jack Pineda,sa3020762,801442
Bryson Brigman,sa829857,624417
Taylor Walls,22458,670764
Josh Bell,13145,605137
Nick Fortes,21538,663743
Giancarlo Stanton,4949,519317
Griffin Conine,21626,665052
Matthew Batten,20157,676946
Tristan Peters,sa3017851,671976
Jake Alu,25569,666906
Brady House,sa3017694,691781
Ali Sanchez,18551,645305
Pablo Reyes,16357,622569
Kevin Smith,20242,675656
Colson Montgomery,sa3017170,695657
Brett Sullivan,18217,664954
Hunter Goodman,29715,696100
Sam Haggerty,18054,664059
Hoy Park,18027,660829
Zach McKinstry,19392,656716
Cole Carrigg,sa3022596,694249
Brett Bateman,sa3022603,703520
Luis De Los Santos,21682,665782
Everson Pereira,23695,677592
Levi Jordan,25138,682119
Ben Rortvedt,20287,666163
Gustavo Campero,22707,672569
Kody Clemens,20572,665019
Ismael Munguia,sa917132,665998
Santiago Espinal,19997,669289
Isiah Kiner-Falefa,16512,643396
Alex Mooney,sa3023070,695612
Chris Williams,sa3007028,675910
Carlos Mendoza,sa3008944,685332
Jacob Amaya,23296,676070
Corey Joyce,sa3010596,687144
Austin Slater,16153,596103
Johnny Olmstead,sa3022494,675394
Manuel Margot,14712,622534
Starling Marte,9241,516782
Justyn-Henry Malloy,29606,669234
Dixon Machado,11472,553988
Austin Gauthier,sa3017121,702789
Justin Turner,5235,457759
Rhys Hoskins,16472,656555
Trenton Brooks,19384,670092
Jose Peroza,sa3003288,672692
Joey Gallo,14128,608336
Austin Martin,27462,668885
Taylor Young,sa3019907,805891
Shawn Ross,sa3020951,676566
Bligh Madris,20054,676632
Ryan Noda,23312,676116
Jhonny Pereda,19802,640902
Dustin Harris,25705,687957
Ty France,17982,664034
Osleivis Basabe,23985,678545
Billy Cook,29573,695257
Hudson Haskin,sa3014449,681370
Gino Groover,sa3022887,694410
Jose Azocar,18821,640492
Daniel Susac,sa3019997,691740
Blaze Alexander,23789,677942
Jason Martin,16429,641829
Travis Blankenhorn,18395,663905
Ryan Kreidler,25867,668952
Otto Kemp,sa3020577,805249
Francisco Mejia,16403,642336
Jake Slaughter,sa3007871,670237
Sean Bouchard,21270,656248
Ryan Ward,sa1169792,669899
Carson McCusker,sa3022304,676812
Ben Cowles,sa3016976,701496
Rafael Ortega,10323,542364
Enmanuel Valdez,21716,665839
Nick Maton,21635,665155
Max Schuemann,24488,680474
Phillip Glasser,sa3022680,701298
Alex Kirilloff,20325,666135
Greg Jones,25448,675659
Victor Scott II,31349,687363
Tristan Gray,19877,656484
Mike Antico,sa3016922,690443
Greg Allen,16623,656185
Seth Stephenson,sa3020495,700931
Nicky Lopez,19339,670032
Andre Lipcius,25822,686531
Sammy Hernandez,sa3020141,803679
Jose Iglesias,10231,578428
Whit Merrifield,11281,593160
Dominic Fletcher,26149,666150
Cooper Bowman,sa3016966,688682
Quincy Hamilton,sa3017215,680810
Tyler Heineman,13897,623168
Cam Eden,25476,686490
Pavin Smith,19892,656976
Chase Pinder,sa3003961,676198
Pedro Ramirez,sa3015834,699393
Niko Kavadas,29782,694359
Jack Brannigan,sa3019922,687394
Homer Bush Jr.,sa3022480,683344
Deyvison De Los Santos,sa3015168,691277
Kellen Strahm,sa3010278,687005
Angel Genao,sa3015706,694197
Jhostynxon Garcia,sa3015523,691373
Jake Marisnick,11339,545350
Dalton Guthrie,21293,656495
Lorenzo Cedrola,sa872850,661411
Kyle Karros,sa3022559,691720
Wenceel Perez,22857,672761
Luis Torrens,15905,620443
Carlos Perez,10642,542208
Jax Biggers,sa3008251,680890
Marco Luciano,25616,682617
Guy Lipscomb,sa3020764,805865
Carter Howell,sa3020139,800765
Luke Williams,19931,663897
Ivan Johnson,sa1169627,671155
Jordan Walker,27475,691023
Jacob Melton,sa3019988,689200
Spencer Packard,sa3016803,689070
Sam Hilliard,17954,656541
Jonathan Ornelas,24597,680716
Kody Hoese,sa3010021,682210
Bryce Teodosio,29524,669326
Ryan Vilade,22165,668723
David Fry,24934,681807
Morgan McCullough,sa3009868,668833
Zack Short,19562,670097
Jonathon Long,sa3022864,675085
Trevor Larnach,21501,663616
Mikey Romero,sa3020216,702540
Chadwick Tromp,16953,644433
Braiden Ward,sa3017332,685274
Troy Johnston,sa3010899,687859
David Hensley,25111,682073
Raynel Delgado,sa3007288,669384
Cody Milligan,sa1169818,687862
Maverick Handley,sa3010848,668974
Brandon Valenzuela,sa3005729,678218
Graham Pauley,31363,688363
Oscar Gonzalez,20970,660757
Jake Cave,14477,595909
Conner Capel,19983,668843
Jakob Marsee,sa3019868,805300
Jake Fraley,19260,641584
Tomas Nido,13755,621512
Owen Miller,24655,680911
Korey Lee,25543,686676
Jason Delay,19806,641511
Bryan Ramos,25621,682868
Elier Hernandez,13750,609274
Matt Gorski,sa3010399,685301
Omar Alfonzo,sa3015665,692657
Trayce Thompson,9952,572204
Hao-Yu  Lee,sa3017863,701678
Jordan Groshans,23794,677954
Victor Mesa Jr.,sa3010700,683748
J.D. Davis,16219,605204
Eloy Jimenez,17484,650391
Daniel Vogelbach,14130,596129
Elih Marrero,sa3007822,663503
Mark Canha,11445,592192
Darren Baker,29912,671117
Cooper Kinney,sa3017793,695692
Connor Joe,16572,656582
Ripken Reyes,sa3010159,685341
Tatem Levins,sa3020278,694420
Joey Wiemer,27690,686894
Nick Podkul,sa3006720,674951
John Garcia,sa3020419,801039
Orelvis Martinez,25967,682619
Will Simpson,sa3022530,687310
Andy Ibanez,18819,628451
George Valera,sa3006872,671655
Joey Meneses,14366,608841
Danny De Andrade,sa3015698,694185
Chris Taylor,13757,621035
C.J. Hinojosa,sa658616,546994
Andrew Cossetti,sa3020493,681355
Will Benson,21853,666181
Keston Hiura,20003,669374
Tim Tawa,sa3016970,694374
Stuart Fairchild,20321,656413
J.D. Martinez,6184,502110
Ben Gamel,12160,592325
Arquimedes Gamboa,sa877497,660614
Lazaro Montes,sa3018409,703155
Bobby Dalbec,19966,666915
Jordyn Adams,23788,677941
Jason Heyward,4940,518792
Wilfred Veras,sa3015178,691442
Eric Haase,14111,606992
Trevor Hauver,sa3014448,669386
Jackson Cluff,sa3010342,687714
Chase DeLauter,sa3021053,800050
Eric Wagaman,23395,676572
Nick Pratto,22117,668472
Luis Matos,26467,682641
Jacob Hurtubise,27599,674441
Aidan Miller,sa3022609,805795
Brendon Davis,18587,663478
Jantzen Witte,sa738324,642220
Alika Williams,27604,675961
Nick Solak,19294,669256
Jose Abreu,15676,547989
Ryan McKenna,19928,663630
Brendan Jones,sa3025253,800957
Colton Ledbetter,sa3022897,807742
Payton Henry,22164,668721
Trent Farquhar,sa3022606,802531
Joe Hudson,14412,621529
Yonny Hernandez,19432,660634
Rodolfo Duran,sa877500,660710
Noah Cardenas,sa3017624,681433
Ramon Rodriguez,sa918698,670232
Enrique Hernandez,10472,571771
Shane Sasaki,sa3011754,687071
Colby Shade,sa3023374,694974
Alan Trejo,20056,676701
Jared Oliva,19968,666931
J.P. Martinez,24451,679881
Xavier Isaac,sa3020498,800060
Luke Ritter,sa3009878,682239
Christian Moore,sa3025168,695681
Connor Hollis,sa3007870,667442
James McCann,12859,543510
Ryan McCarty,sa3020244,806005
Yuli Gurriel,19198,493329
Tavian Josenberger,sa3022808,694444
Jace Bohrofen,sa3022653,690957
David Banuelos,23250,675915
Jack Blomgren,sa3014825,685076
Daniel Johnson,19643,669288
Jesus Baez,sa3018507,800305
Terrin Vavra,24400,679631
Austin Hedges,12976,595978
Jose Barrero,23378,676480
Jonathan Davis,15104,641505
Bubba Thompson,22261,669352
Stone Garrett,19273,656448
Brock Rodden,sa3022432,801126
Anthony Rizzo,3473,519203
Luke Waddell,sa3017075,680672
Tucker Flint,sa3019856,687272
Gabriel Cancel,sa875231,663708
Kaden Polcovich,sa3014496,687659
Dylan Beavers,sa3019983,687637
Garrett Hampson,19262,641658
Dominic Pitelli,sa3022809,694689
Matt Mervis,27845,670223
Corey Julks,20311,667452
Andrew Knapp,14942,595284
Drew Gilbert,sa3019980,687551
Kolten Wong,12532,543939
Christian Cairo,sa3010028,686551
Cal Mitchell,22169,668751
Adam Frazier,15223,624428
Michael Papierski,21386,657709
Oscar Mercado,16375,640458
Aaron Schunk,25524,668845
Anthony Alford,14329,546990
Alexander Canario,22842,672744
Elijah Dunham,sa3014827,685313
Gilberto Celestino,20233,665482
Cavan Biggio,19252,624415
Ronny Simon,sa3008365,682927
Oscar Colas,30162,693049
Tyler Nevin,17893,663527
Hunter Feduccia,23372,676439
Mitch Haniger,14274,571745
Matt Kroon,sa3007502,663714
Petey Halpin,sa3014461,690984
Andres Alvarez,sa3010710,687019
Yu Chang,14773,644374
Logan Davidson,sa918676,669722
Kevin Newman,17696,621028
Nick Castellanos,11737,592206
Tim Anderson,15172,641313
Grae Kessinger,25813,666197
Shane McGuire,sa3017284,676063
Tony Kemp,14894,643393
Stephen Scott,sa3011469,679663
Nick Kurtz,sa3025385,701762
Jose Rodriguez,24388,679563
Matt Thaiss,19318,642136
Kyle Farmer,14813,571657
Termarr Johnson,sa3020214,702261
Jacob Stallings,13723,607732
Jose Fermin,21746,665877
Erick Mejia,15817,625510
Gavin Cross,sa3019985,688457
Jerar Encarnacion,21871,666464
Mat Nelson,sa3017328,680756
Patrick Wisdom,13602,621550
Will Holland,sa3011204,683735
Bryan Lavastida,24765,681526
Cameron Cauley,sa3017167,695508
Michael Trautwein,sa3017043,681114
Mac Horvath,sa3022885,690991
Anthony Vilar,sa3017660,681036
Caleb Roberts,sa3016959,681134
Nick Morabito,sa3020418,703492
Cristian Pache,19948,665506
Jeter Downs,22202,669023
Curt Casali,12510,592200
Tyler Callihan,sa1169610,682997
Taylor Kohlwey,19212,670128
Brennan Milone,sa3019974,686810
Mark Contreras,20122,676628
Luis Guillorme,16451,641645
Josh VanMeter,15170,642165
Jean Segura,5933,516416
Michael Chavis,17321,656308
Cam Smith,sa3025358,701358
Marcos Castanon,sa3016818,676203
Anthony Bemboom,13854,621532
Blake Rambusch,sa3020008,800683
Jake Lamb,13329,571875
Christopher Suero,sa3018614,801523
Matt Suggs,sa3020351,702110
TJ Hopkins,25482,686759
Austin Overn,sa3025408,702556
Jeremiah Jackson,sa3007740,669236
Alex De Goti,19477,621008
Rob Brantly,10655,542963
Wilmer Flores,5827,527038
Jett Williams,sa3020134,702518
John Peck,sa3022896,807726
Robbie Tenerowicz,sa738999,642134
David Peralta,2136,444482
Yordys Valdes,sa3010037,686798
Ivan Melendez,sa3019859,699471
Victor Labrada,sa3015062,700032
Tyler Soderstrom,27467,691016
Douglas Hodo III,sa3020614,683233
Brandon Drury,11615,592273
Seby Zavala,18887,664874
Jhonkensy Noel,24257,678877
Gregory Barrios,sa3015800,699126
Dasan Brown,sa3011717,672018
Kevin Pillar,12434,607680
Ronaiker Palma,sa3005624,681623
Cooper Johnson,sa3010584,666194
Anthony Rendon,12861,543685
Omar Narvaez,13338,553882
Roberto Campos,sa3014683,691449
Josh Zamora,sa3020092,695031
Jase Bowen,sa3011267,687749
Tanner Schobel,sa3020009,802355
Nate Furman,sa3020763,801501
Luke Shliger,sa3022694,807740
Cole Gabrielson,sa3022811,702068
Jeferson Morales,sa3005472,672373
Devonte Brown,sa3020189,675994
Cole Fontenelle,sa3022429,694304
Yolmer Sanchez,11602,570560
Nick Gordon,16337,624503
Rubel Cespedes,sa3008953,686438
Simon Muzziotti,19553,665922
Adrian Sugastey,sa3015190,692368
Jordan Luplow,16424,656669
Jake Holton,sa3010599,687724
