,BatterName,batter,PA_flag,AB_flag,Is_Hit,PitchesThrown,SwungOn,ContactMade_Foul,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,Brl%,EV 90,xwOBA,xBA
10,Alec Burleson,676475,81.0,76.0,21.0,293,155,129,12,5,0,64,34,10,12,18,3,0,0,0.832258064516129,0.5290102389078498,0.14814814814814814,0.06172839506172839,0.27631578947368424,0.32098765432098764,0.3157894736842105,All,293,64,0.53125,0.15625,0.1875,0.171875,0.3691275167785235,0.0,103.95,0.23903703703703702,0.21542105263157896
11,Alejandro Kirk,672386,72.0,67.0,15.0,275,129,101,10,3,1,58,29,11,12,12,2,0,1,0.7829457364341085,0.4690909090909091,0.1388888888888889,0.041666666666666664,0.22388059701492538,0.2638888888888889,0.29850746268656714,All,275,58,0.5,0.1896551724137931,0.20689655172413793,0.25862068965517243,0.3233082706766917,0.017241379310344827,102.7,0.26060438888888887,0.24380882352941177
12,Alek Thomas,677950,63.0,56.0,15.0,235,122,87,16,4,2,41,20,11,8,10,3,2,0,0.7131147540983607,0.5191489361702127,0.25396825396825395,0.06349206349206349,0.26785714285714285,0.3333333333333333,0.39285714285714285,All,235,41,0.4878048780487805,0.2682926829268293,0.1951219512195122,0.34146341463414637,0.3669724770642202,0.12195121951219512,103.36,0.3414435396825397,0.259859649122807
13,Alex Bregman,608324,113.0,100.0,31.0,442,178,153,21,9,3,80,29,17,28,17,10,0,4,0.8595505617977528,0.40271493212669685,0.18584070796460178,0.07964601769911504,0.31,0.3805309734513274,0.53,All,442,80,0.3625,0.2125,0.35,0.35,0.16908212560386474,0.075,103.1,0.3449117168141593,0.2581683168316832
14,Alex Call,669743,56.0,42.0,13.0,208,75,68,4,10,0,42,18,12,11,10,2,1,0,0.9066666666666666,0.3605769230769231,0.07142857142857142,0.17857142857142858,0.30952380952380953,0.4107142857142857,0.40476190476190477,All,208,42,0.42857142857142855,0.2857142857142857,0.2619047619047619,0.35714285714285715,0.15384615384615385,0.023809523809523808,99.62,0.35458181818181816,0.2514347826086957
15,Alex Verdugo,657077,23.0,22.0,6.0,86,33,29,3,1,0,19,8,7,2,3,3,0,0,0.8787878787878788,0.38372093023255816,0.13043478260869565,0.043478260869565216,0.2727272727272727,0.30434782608695654,0.4090909090909091,All,86,19,0.42105263157894735,0.3684210526315789,0.10526315789473684,0.42105263157894735,0.2222222222222222,0.05263157894736842,102.32000000000001,0.37478260869565216,0.3496818181818182
16,Alexander Canario,672744,26.0,23.0,2.0,91,48,32,6,3,0,17,4,2,10,1,0,0,1,0.6666666666666666,0.5274725274725275,0.23076923076923078,0.11538461538461539,0.08695652173913043,0.19230769230769232,0.21739130434782608,All,91,17,0.23529411764705882,0.11764705882352941,0.5882352941176471,0.29411764705882354,0.19047619047619047,0.35294117647058826,104.6,0.47757692307692307,0.2718260869565217
17,Amed Rosario,642708,42.0,41.0,10.0,120,70,52,4,1,0,37,17,8,9,7,2,0,1,0.7428571428571429,0.5833333333333334,0.09523809523809523,0.023809523809523808,0.24390243902439024,0.2619047619047619,0.36585365853658536,All,120,37,0.4594594594594595,0.21621621621621623,0.24324324324324326,0.32432432432432434,0.3770491803278688,0.05405405405405406,105.12,0.32404761904761903,0.2735609756097561
18,Andres Gimenez,665926,102.0,90.0,17.0,413,196,151,19,8,3,72,32,16,22,10,4,0,3,0.7704081632653061,0.4745762711864407,0.18627450980392157,0.0784313725490196,0.18888888888888888,0.27450980392156865,0.3333333333333333,All,413,72,0.4444444444444444,0.2222222222222222,0.3055555555555556,0.3055555555555556,0.32642487046632124,0.041666666666666664,100.45,0.31996340196078427,0.23882417582417584
19,Andrew Benintendi,643217,62.0,58.0,14.0,247,125,90,12,4,0,46,17,7,18,10,0,0,4,0.72,0.5060728744939271,0.1935483870967742,0.06451612903225806,0.2413793103448276,0.2903225806451613,0.4482758620689655,All,247,46,0.3695652173913043,0.15217391304347827,0.391304347826087,0.32608695652173914,0.296,0.13043478260869565,101.11999999999999,0.29985483870967744,0.2083448275862069
