,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,BrlHR,Brl3B,Brl2B,Brl1B,BrlBABIP,BrlOut,SolidHR,Solid3B,Solid2B,Solid1B,SolidBABIP,SolidOut,FlareHR,Flare3B,Flare2B,Flare1B,FlareBABIP,FlareOut,UnderHR,Under3B,Under2B,Under1B,UnderBABIP,UnderOut,ToppedHR,Topped3B,Topped2B,Topped1B,ToppedBABIP,ToppedOut,WeakHR,Weak3B,Weak2B,Weak1B,WeakBABIP,WeakOut,SBAtt%,SBSuccess%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
231,Blake Mitchell,805810,sa3022756,KC,MLB,20.7,0.286,0.135,0.06,0.04,0.25,0.25,0.35,0.05,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.147,0.147,0.853,0.0,0.0,0.0,0.206,0.206,0.794,0.20441538461538464,0.7909090909090909,3.9091698923231832,0.011683837976016024,0.968,1.051,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.091,1.059,0.919,0.821,1.374
232,Stone Russell,806212,sa3022819,KC,MLB,20.8,0.24,0.075,0.06,0.04,0.25,0.25,0.35,0.05,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.143,0.143,0.857,0.099,0.8,3.9091698923231832,0.011683837976016024,1.016,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.016,0.953,0.995,1.027,0.964,0.841
233,Edouard Julien,666397,27534,MIN,MLB,26.0,0.324,0.12,0.116,0.07,0.234,0.193,0.348,0.04,0.397,0.009,0.247,0.038,0.69,0.31000000000000005,0.085,0.016,0.217,0.15,0.468,0.532,0.0,0.005,0.088,0.564,0.657,0.34299999999999997,0.009,0.002,0.035,0.041,0.087,0.913,0.0,0.0,0.005,0.15,0.155,0.845,0.0,0.0,0.0,0.204,0.204,0.796,0.07484587155963303,0.9142857142857143,3.9091698923231832,0.012552301255230125,0.968,1.051,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.091,1.059,0.919,0.821,1.374
234,Byron Buxton,621439,14161,MIN,MLB,31.3,0.282,0.061,0.134,0.08,0.198,0.312,0.244,0.033,0.579,0.01,0.167,0.018,0.774,0.22599999999999998,0.074,0.023,0.231,0.12,0.448,0.552,0.0,0.014,0.119,0.525,0.658,0.34199999999999997,0.007,0.002,0.025,0.023,0.057,0.943,0.0,0.0,0.021,0.186,0.207,0.793,0.0,0.0,0.002,0.16,0.162,0.838,0.12837142857142855,0.8847826086956522,3.9091698923231832,0.02194787379972565,1.0045,0.9904999999999999,0.9430000000000001,1.0095,1.0095,1.0505,0.9984999999999999,1.0585,0.975,1.051,1.0150000000000001,0.959,1.001,1.0045,1.017,0.8314999999999999
235,Willi Castro,650489,17338,MIN,MLB,28.0,0.235,0.078,0.07,0.068,0.255,0.276,0.271,0.06,0.423,0.022,0.246,0.023,0.714,0.28600000000000003,0.087,0.026,0.225,0.098,0.436,0.5640000000000001,0.0,0.016,0.1,0.544,0.66,0.33999999999999997,0.005,0.002,0.029,0.03,0.066,0.9339999999999999,0.0,0.0,0.018,0.161,0.179,0.821,0.0,0.0,0.006,0.182,0.188,0.812,0.12506315789473685,0.7955882352941176,3.9091698923231832,0.03120281831907398,1.012,0.9135,1.1205,0.859,1.089,0.9225,1.0875,0.915,1.0015,1.029,0.9295,1.063,1.041,0.9884999999999999,0.98,0.7705
236,Matt Wallner,670242,26466,MIN,MLB,27.4,0.334,0.103,0.168,0.091,0.23,0.276,0.196,0.039,0.496,0.021,0.213,0.061,0.791,0.20899999999999996,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.005,0.125,0.553,0.683,0.31699999999999995,0.005,0.002,0.026,0.037,0.07,0.9299999999999999,0.0,0.0,0.021,0.134,0.155,0.845,0.0,0.0,0.0,0.205,0.205,0.795,0.05330785340314136,0.7769230769230769,3.9091698923231832,0.036344755970924195,0.968,1.051,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.091,1.059,0.919,0.821,1.374
237,Carlos Correa,621043,14162,MIN,MLB,30.6,0.19,0.097,0.091,0.067,0.226,0.231,0.349,0.037,0.464,0.004,0.192,0.036,0.696,0.30400000000000005,0.069,0.019,0.219,0.121,0.428,0.5720000000000001,0.0,0.008,0.106,0.556,0.67,0.32999999999999996,0.01,0.003,0.022,0.033,0.068,0.9319999999999999,0.0,0.0,0.014,0.15,0.164,0.836,0.0,0.0,0.002,0.157,0.159,0.841,0.0198,0.8,3.9091698923231832,0.007349563619660083,1.0445,0.8845000000000001,0.907,1.1065,1.025,1.0110000000000001,0.9834999999999999,1.0979999999999999,0.9844999999999999,1.0274999999999999,1.024,0.9345,0.9804999999999999,1.057,0.996,0.8845000000000001
238,Trevor Larnach,663616,21501,MIN,MLB,28.2,0.257,0.108,0.094,0.077,0.239,0.255,0.306,0.028,0.455,0.0,0.232,0.022,0.709,0.29100000000000004,0.072,0.019,0.221,0.113,0.425,0.575,0.0,0.006,0.095,0.559,0.66,0.33999999999999997,0.007,0.005,0.029,0.044,0.085,0.915,0.0,0.0,0.012,0.15,0.162,0.838,0.0,0.0,0.002,0.194,0.196,0.804,0.05458260869565217,0.7192307692307692,3.9091698923231832,0.013245033112582781,0.968,1.051,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.091,1.059,0.919,0.821,1.374
239,Ty France,664034,17982,MIN,MLB,30.8,0.19,0.067,0.073,0.058,0.259,0.255,0.313,0.043,0.467,0.008,0.198,0.071,0.745,0.255,0.077,0.016,0.222,0.114,0.429,0.571,0.0,0.005,0.102,0.544,0.651,0.349,0.006,0.003,0.026,0.027,0.062,0.938,0.0,0.0,0.013,0.168,0.181,0.819,0.0,0.0,0.022,0.135,0.157,0.843,0.03482347417840376,0.65,3.9091698923231832,0.04223042230422304,0.9915,1.025,0.9704999999999999,0.938,1.005,1.0619999999999998,0.979,1.1099999999999999,0.978,1.044,0.9975,1.005,1.025,0.94,1.029,0.7955
240,Ryan Jeffers,680777,24618,MIN,MLB,27.9,0.222,0.076,0.088,0.065,0.231,0.285,0.272,0.059,0.498,0.021,0.146,0.051,0.717,0.28300000000000003,0.087,0.016,0.201,0.116,0.42,0.5800000000000001,0.0,0.007,0.108,0.534,0.649,0.351,0.006,0.004,0.029,0.031,0.07,0.9299999999999999,0.0,0.0,0.013,0.15,0.163,0.837,0.0,0.0,0.002,0.146,0.148,0.852,0.03508662420382166,0.7625,3.9091698923231832,0.02103120759837178,1.0085,0.9804999999999999,0.915,1.073,0.9884999999999999,1.1,0.9219999999999999,1.234,0.979,1.0385,1.0325,0.919,1.0005,1.007,1.03,0.808
