Name,fPDurability,fStuff,fControl,fERA,TOTAL
Jake Irvin,105,93,96,91,101
Tink Hence,60,108,97,136,101
Liam Hendriks,15,123,124,121,101
Collin Snider,73,103,100,111,101
Adrian Morejon,72,107,106,110,101
Gregory Santos,42,99,111,147,101
Seranthony Dominguez,91,112,100,92,101
Paul Sewald,80,109,108,99,101
Grant Holmes (SP),84,93,109,103,101
Tyler Ferguson,93,99,93,103,101
Max Scherzer,62,111,115,119,100
Sean Manaea,98,99,102,119,100
Shane Bieber,39,104,111,121,100
Michael McGreevy,80,87,120,130,100
Jordan Romano,54,114,102,90,100
Sean Hjelle,83,94,108,109,100
Tyson Miller,94,96,111,92,100
Scott Barlow,88,102,92,111,100
Kyle Finnegan,99,95,100,98,100
Osvaldo Bido (SP),90,94,99,110,100
Craig Kimbrel,87,110,88,97,100
Will Warren (SP),98,89,100,98,100
Kodai Senga,31,113,93,137,99
Luis Gil,83,112,86,113,99
Andre Pallante,87,86,91,157,99
Jordan Hicks,74,101,85,107,99
Sawyer Gipson-Long,21,112,106,135,99
Dedneil Nunez,45,110,108,118,99
Joe Boyle (SP),64,105,85,129,99
Reynaldo Lopez,69,109,103,133,98
Merrill Kelly,64,95,105,121,98
David Peterson,78,96,95,124,98
Jose Berrios,98,97,106,112,98
Edward Cabrera,70,105,90,107,98
Aaron Civale,79,92,103,107,98
Andrew Heaney,89,104,107,107,98
Jakob Junis,67,96,129,121,98
Keider Montero,113,94,94,102,98
Hunter Harvey,63,104,109,101,98
Abner Uribe,54,106,79,147,98
Reed Garrett,73,113,95,101,98
Bobby Miller,57,110,92,101,97
Ronel Blanco,82,106,94,105,97
Landon Knack,83,99,98,97,97
Aaron Ashby (SP),42,103,105,132,97
Matt Brash,32,116,95,128,97
Fernando Cruz,78,111,93,95,97
George Klassen (SP),78,96,89,111,97
Javier Assad (SP),123,80,93,84,97
Michael Wacha,85,94,106,119,96
Caden Dana,72,98,103,125,96
Joey Cantillo,61,103,87,119,96
Kyle Gibson,85,98,94,105,96
Calvin Faucher,63,104,91,98,96
Seth Halvorson,44,99,105,123,96
Dane Dunning (SP),105,82,98,92,96
Jacob Misiorowski,58,108,88,135,95
Jeffrey Springs,42,110,113,127,95
Jackson Jobe,83,100,99,110,95
Clayton Kershaw,42,100,103,132,95
Ben Brown,84,111,95,95,95
Chase Dollander,68,104,93,125,95
Nate Pearson,83,109,99,81,95
Colin Holderman,74,102,93,98,95
Ryan Fernandez,76,96,95,98,95
Alec Marsh,81,102,95,103,94
Jack Leiter,67,107,90,98,94
Richard Fitts,68,93,106,125,94
Jose Quintana,83,86,99,130,94
Jordan Hicks (SP),80,95,89,97,94
Tylor Megill (SP),80,100,99,89,94
Luis Garcia,43,106,102,118,93
Bubba Chandler,65,106,95,109,93
Eury Perez,25,118,104,97,93
Mitchell Parker,92,89,97,98,93
Tobias Meyers,90,91,104,105,93
Chase Silseth,58,99,94,96,93
Luis L. Ortiz,89,95,95,109,93
Luis Severino,95,101,100,93,93
Tyler Anderson,88,98,98,105,93
Jonathan Cannon,92,87,99,104,93
Garret Whitlock (SP),44,97,110,115,93
Alex Lange,45,112,92,117,93
Reese Olson,63,102,104,120,92
Andrew Painter,34,107,111,144,92
Sean Burke,46,107,91,113,92
Simeon Woods Richardson,92,86,97,103,92
Zack Littell,75,90,118,104,92
Cade Povich,99,96,95,94,92
Charlie Morton,79,105,93,110,92
Ryan Feltner,79,92,92,117,92
Marcus Stroman,77,86,94,114,92
Brady Singer,96,93,99,98,92
Noah Schultz,65,99,102,143,92
Kenta Maeda,84,97,107,98,92
DL Hall (SP),74,83,89,108,92
Justin Lawrence,92,89,88,93,92
Jesus Luzardo,40,109,100,106,91
Tyler Mahle,26,101,108,123,91
Braxton Garrett,34,93,125,108,91
Nick Lodolo,53,107,101,91,91
Matthew Boyd,42,101,103,119,91
Chase Burns,63,113,98,101,91
Kyle Harrison,100,92,94,94,91
Cody Bradford,68,95,118,102,91
J.P. Sears,97,92,107,72,91
Drew Thorpe,78,92,101,112,91
Joe Boyle,52,113,82,138,91
Justin Verlander,68,100,104,110,91
Chase Petty,84,96,92,99,91
Hayden Wesnewski (SP),64,92,107,94,91
Bryce Elder (SP),83,90,99,86,91
Frankie Montas,74,101,96,99,90
Slade Cecconi,66,94,110,95,90
Reid Detmers,72,104,92,87,90
Yariel Rodriguez,66,96,93,128,90
Aaron Ashby,38,108,101,136,90
Dean Kremer,80,94,98,106,90
Brandon Sproat,70,100,96,111,90
Miles Mikolas,84,83,104,106,90
Alejandro Rosario,54,111,110,140,90
Connor Phillips (SP),79,90,86,91,90
Grant Holmes,63,102,107,103,89
Osvaldo Bido,59,102,94,119,89
Mitch Spence,98,92,101,78,89
Thomas Harrington,64,93,112,105,89
Will Warren,65,99,95,94,89
Michael Grove (SP),57,95,105,94,89
Chase Silseth (SP),75,90,94,83,89
Garrett Whitlock,36,100,105,121,88
Chayce McDermott,58,101,84,112,88
Chris Paddack,38,93,117,101,88
Erick Fedde,83,87,96,101,88
Quinn Preister,55,90,102,117,88
Ty Madden,66,99,96,100,88
Randy Vasquez,69,90,95,103,88
Emmet Sheehan,31,113,97,123,88
K.C. Hunt,59,96,101,148,88
Sean Sullivan,64,96,112,126,88
Dustin May (SP),22,99,104,130,88
Jose Quijada,44,107,89,106,88
Louie Varland (SP),49,96,113,88,88
Julian Merryweather,46,106,95,97,88
Cooper Hjerpe (SP),44,98,99,118,88
Adrian Houser (SP),65,80,99,101,88
JT Ginn,54,96,96,97,87
Andrew Abbott,81,94,93,90,87
Ranger Suarez,73,89,97,107,87
Joey Estes,91,84,112,73,87
Collin Rea,73,88,106,99,87
Austin Gomber,85,83,106,90,87
Albert Suarez,69,88,103,106,87
Hagen Smith,43,105,97,126,87
Robbie Ray,42,107,87,110,86
Walker Buehler,42,92,96,105,86
Lucas Giolito,41,107,94,101,86
Lance Lynn,64,98,101,99,86
Griffin Canning,75,98,92,97,86
Alex Cobb,38,85,117,126,86
Matt Waldron,76,86,103,89,86
Jon Gray,66,93,105,98,86
Eduardo Rodriguez,72,87,95,107,86
Ian Seymour,72,101,97,125,86
Kyle Freeland,83,81,110,89,86
Steven Matz (SP),52,87,107,92,86
Roansy Contreras (SP),77,89,95,76,86
DL Hall,56,92,89,114,85
Max Meyer,76,96,99,84,85
Adam Mazur,68,89,97,91,85
Javier Assad,83,83,89,104,85
Matt Manning (SP),48,90,100,98,85
Tylor Megill,49,104,94,107,84
Carson Whisenhunt,59,103,90,108,84
Yilber Diaz,66,92,90,104,84
Ben Lively,80,82,98,91,84
Christian Javier,23,104,91,119,84
Logan Henderson,58,105,106,110,84
Patrick Sandoval,51,96,90,118,84
Dane Dunning,82,84,93,91,84
Lance McCullers (SP),15,98,95,123,84
Casey Mize,52,90,105,103,83
Michael Grove,49,99,100,99,83
Hayden Wesnewski,52,96,102,100,83
AJ Smith-Shawver,61,97,91,100,83
Robby Snelling,80,93,96,104,83
Mason Black,74,92,94,88,83
George Klassen,60,102,81,107,83
Nick Nastrini,76,99,81,91,83
Jackson Baumeister,61,106,100,130,83
Tony Gonsolin (SP),51,82,106,88,83
Ryan Weathers,43,96,99,103,82
Graham Ashcraft,57,98,93,97,82
Baily Falter,66,87,99,94,82
Roansy Contreras,65,93,91,93,82
German Marquez,46,94,104,97,81
Louie Varland,37,99,106,98,81
Trevor Rogers,57,88,94,104,81
Hunter Barco,46,103,98,97,81
Bryce Elder,56,93,94,98,81
Emiliano Teodo,51,108,87,122,80
Parker Messick,78,93,99,132,80
Cal Quantrill,76,79,89,93,80
Cade Cavalli,18,107,88,109,79
Spencer Turnbull,25,100,95,116,79
Steven Matz,36,90,101,105,79
Lance McCullers,4,103,92,139,79
Samuel Aldegheri,60,101,89,95,79
Hurston Waldrep,66,90,82,135,79
Connor Phillips,55,101,82,83,79
Ian Anderson,60,95,88,88,79
Brandon Birdsell,80,86,105,87,79
Carson Palmquist,76,95,88,93,79
Antonio Senzatela,45,79,100,106,78
Kyle Wright,43,96,99,94,78
Matt Manning,30,93,96,109,78
Jordan Wicks,69,88,95,72,78
Cooper Hjerpe,33,102,90,113,78
Logan Allen,58,88,89,90,78
Paul Blackburn,45,89,99,98,78
Mason Adams,64,91,99,117,77
Chase Hampton,49,97,91,111,77
Blade Tidwell,73,95,84,90,77
Adrian Houser,47,83,94,103,77
Cade Horton,28,93,96,100,76
Drue Hackenberg,75,91,86,131,76
Gunnar Hoglund,56,91,101,76,76
Jonah Tong,53,99,81,111,76
Owen Wild,69,105,101,108,76
Tony Gonsolin,38,84,100,92,75
Isaac Coffey,70,98,95,100,75
Emerson Hancock,48,83,98,87,75
Taijuan Walker,64,84,90,77,75
Tekoah Roby,31,89,91,90,73
Brad Lord,67,90,92,105,72
Cristian Mena,59,87,85,98,72
Mick Abel,77,94,79,101,69
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
