,BatterName,batter,PA_flag,AB,IsHit,PitchesThrown,SwungOn,ContactMade,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,EV 90
2941,Mat Nelson,680756,14,13,2,52,26,18,4,1,0,9,0,0,0,1,1,0,0,0.6923076923076923,0.5,0.2857142857142857,0.07142857142857142,0.15384615384615385,0.21428571428571427,0.23076923076923078,RHP,,,,,,,,
2942,Matt Coutney,671925,60,47,11,238,99,70,15,10,1,34,0,0,0,6,4,0,1,0.7070707070707071,0.41596638655462187,0.25,0.16666666666666666,0.23404255319148937,0.36666666666666664,0.3829787234042553,RHP,,,,,,,,
2943,Matt Gorski,685301,59,56,17,200,103,67,16,1,0,42,10,15,14,10,5,0,2,0.6504854368932039,0.515,0.2711864406779661,0.01694915254237288,0.30357142857142855,0.3050847457627119,0.5,RHP,268.0,55.0,0.2727272727272727,0.32727272727272727,0.34545454545454546,0.41818181818181815,0.3805970149253731,109.14
2944,Matt Halbach,801561,34,31,8,138,65,40,10,2,1,21,0,0,0,5,2,0,1,0.6153846153846154,0.47101449275362317,0.29411764705882354,0.058823529411764705,0.25806451612903225,0.3235294117647059,0.41935483870967744,RHP,,,,,,,,
2945,Matt Higgins,696487,57,48,11,175,86,71,5,8,0,44,0,0,0,9,2,0,0,0.8255813953488372,0.49142857142857144,0.08771929824561403,0.14035087719298245,0.22916666666666666,0.3333333333333333,0.2708333333333333,RHP,,,,,,,,
2946,Matt Koperniak,689288,68,63,12,225,106,90,8,3,2,55,17,10,21,9,2,0,1,0.8490566037735849,0.4711111111111111,0.11764705882352941,0.04411764705882353,0.19047619047619047,0.25,0.2698412698412698,RHP,289.0,70.0,0.35714285714285715,0.15714285714285714,0.37142857142857144,0.3142857142857143,0.3333333333333333,101.59
2947,Matt Kroon,663714,10,8,3,32,11,7,3,2,0,5,2,2,1,2,1,0,0,0.6363636363636364,0.34375,0.3,0.2,0.375,0.5,0.5,RHP,67.0,9.0,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.1935483870967742,103.1
2948,Matt Lloyd,651016,49,39,13,201,63,50,11,10,0,28,12,7,5,9,3,1,0,0.7936507936507936,0.31343283582089554,0.22448979591836735,0.20408163265306123,0.3333333333333333,0.46938775510204084,0.46153846153846156,RHP,266.0,36.0,0.4722222222222222,0.2777777777777778,0.1388888888888889,0.2777777777777778,0.1702127659574468,103.93
2949,Matt O'Neill,690841,14,11,2,54,17,14,3,3,0,8,0,0,0,1,0,0,1,0.8235294117647058,0.3148148148148148,0.21428571428571427,0.21428571428571427,0.18181818181818182,0.35714285714285715,0.45454545454545453,RHP,,,,,,,,
2950,Matt Shaw,807713,25,20,4,85,34,29,0,4,2,20,11,4,4,2,1,0,1,0.8529411764705882,0.4,0.0,0.16,0.2,0.4,0.4,RHP,107.0,25.0,0.52,0.2,0.24,0.32,0.21818181818181817,101.52
2951,Matt Suggs,702110,22,18,3,96,34,22,8,3,1,10,0,0,0,2,1,0,0,0.6470588235294118,0.3541666666666667,0.36363636363636365,0.13636363636363635,0.16666666666666666,0.3181818181818182,0.2222222222222222,RHP,,,,,,,,
2952,Matthew Batten,676946,55,52,9,218,95,70,19,2,0,34,13,8,8,6,2,0,1,0.7368421052631579,0.43577981651376146,0.34545454545454546,0.03636363636363636,0.17307692307692307,0.2,0.2692307692307692,RHP,227.0,39.0,0.4358974358974359,0.20512820512820512,0.20512820512820512,0.28205128205128205,0.37037037037037035,104.8
2953,Matthew Ellis,700815,36,29,8,157,60,46,8,7,0,21,0,0,0,3,3,0,2,0.7666666666666667,0.3821656050955414,0.2222222222222222,0.19444444444444445,0.27586206896551724,0.4166666666666667,0.5862068965517241,RHP,,,,,,,,
2954,Matthew Etzel,803033,43,36,11,172,81,64,9,7,0,27,0,0,0,7,2,0,2,0.7901234567901234,0.47093023255813954,0.20930232558139536,0.16279069767441862,0.3055555555555556,0.4186046511627907,0.5277777777777778,RHP,,,,,,,,
2955,Matthew Lugo,683090,98,87,18,381,192,135,32,10,2,55,25,15,9,11,4,0,3,0.703125,0.5039370078740157,0.32653061224489793,0.10204081632653061,0.20689655172413793,0.30612244897959184,0.3563218390804598,RHP,487.0,70.0,0.5428571428571428,0.24285714285714285,0.15714285714285714,0.34285714285714286,0.2976190476190476,104.88
2956,Matthew Wood,687783,49,39,9,192,74,59,10,9,1,29,0,0,0,7,1,0,1,0.7972972972972973,0.3854166666666667,0.20408163265306123,0.1836734693877551,0.23076923076923078,0.3877551020408163,0.3333333333333333,RHP,,,,,,,,
2957,Maverick Handley,668974,46,38,16,165,84,58,6,8,0,32,14,10,6,8,6,1,1,0.6904761904761905,0.509090909090909,0.13043478260869565,0.17391304347826086,0.42105263157894735,0.5217391304347826,0.7105263157894737,RHP,228.0,40.0,0.425,0.325,0.175,0.35,0.2631578947368421,103.62
2958,Max Anderson,801194,71,65,21,248,124,93,10,5,1,55,0,0,0,13,6,0,2,0.75,0.5,0.14084507042253522,0.07042253521126761,0.3230769230769231,0.38028169014084506,0.5076923076923077,RHP,,,,,,,,
2959,Max Burt,661733,30,24,4,99,42,32,6,3,1,20,2,0,2,1,2,1,0,0.7619047619047619,0.42424242424242425,0.2,0.1,0.16666666666666666,0.26666666666666666,0.3333333333333333,RHP,51.0,8.0,0.625,0.0,0.25,0.125,0.25925925925925924,108.61
2960,Max Clark,703601,57,43,14,231,83,72,8,13,0,36,0,0,0,10,3,0,1,0.8674698795180723,0.3593073593073593,0.14035087719298245,0.22807017543859648,0.32558139534883723,0.47368421052631576,0.46511627906976744,RHP,,,,,,,,
2961,Max Ferguson,681132,36,28,7,153,63,42,9,8,0,19,0,0,0,6,1,0,0,0.6666666666666666,0.4117647058823529,0.25,0.2222222222222222,0.25,0.4166666666666667,0.2857142857142857,RHP,,,,,,,,
2962,Max Holy,802959,19,13,5,87,21,15,4,6,0,9,0,0,0,4,0,1,0,0.7142857142857143,0.2413793103448276,0.21052631578947367,0.3157894736842105,0.38461538461538464,0.5789473684210527,0.5384615384615384,RHP,,,,,,,,
2963,Max Muncy - 691777,691777,19,19,6,70,31,23,5,0,0,14,7,2,2,3,2,0,1,0.7419354838709677,0.44285714285714284,0.2631578947368421,0.0,0.3157894736842105,0.3157894736842105,0.5789473684210527,RHP,77.0,16.0,0.4375,0.125,0.1875,0.25,0.25,104.66
2964,Max Stassi,545358,44,38,9,170,70,49,12,4,2,26,13,5,6,6,3,0,0,0.7,0.4117647058823529,0.2727272727272727,0.09090909090909091,0.23684210526315788,0.3409090909090909,0.3157894736842105,RHP,227.0,35.0,0.4857142857142857,0.17142857142857143,0.2857142857142857,0.2571428571428571,0.2661290322580645,102.97999999999999
2965,Max Wagner,694484,24,21,3,101,40,24,11,3,0,10,0,0,0,3,0,0,0,0.6,0.39603960396039606,0.4583333333333333,0.125,0.14285714285714285,0.25,0.14285714285714285,RHP,,,,,,,,
2966,Maximo Acosta,691185,101,82,19,424,159,107,28,18,0,55,21,18,11,15,3,0,1,0.6729559748427673,0.375,0.27722772277227725,0.1782178217821782,0.23170731707317074,0.36633663366336633,0.3048780487804878,RHP,482.0,63.0,0.38095238095238093,0.2857142857142857,0.2222222222222222,0.4603174603174603,0.27402135231316727,102.66
