,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
41,Jose Espada,664744,21131,BAL,MLB,28.5,0.299,0.102,0.081,0.064,0.243,0.258,0.31,0.043,3.905,0.007,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
42,Garrett Crochet,676979,27463,BOS,MLB,26.2,0.301,0.058,0.08,0.063,0.243,0.24,0.322,0.046,3.905,0.005,0.9766666666666667,1.0383333333333333,0.9813333333333333,1.0463333333333333,1.0963333333333334,0.7196666666666667,1.0606666666666666,0.8053333333333333,1.0033333333333332,1.0343333333333333,0.9593333333333333,1.09,1.03,0.9066666666666667,0.8853333333333333,1.342
43,Dustin May,669160,19716,BOS,MLB,28.0,0.228,0.084,0.076,0.068,0.241,0.243,0.343,0.041,3.905,0.021,0.9413333333333332,1.033,0.8130000000000001,1.1829999999999998,0.9866666666666667,1.0736666666666668,0.9606666666666666,1.1033333333333333,0.9953333333333333,1.0046666666666666,1.0173333333333332,0.9543333333333333,1.001,1.0296666666666665,0.9863333333333333,0.858
44,Walker Buehler,621111,19374,BOS,MLB,31.1,0.16,0.108,0.079,0.062,0.242,0.237,0.328,0.047,3.905,0.011,1.0246666666666666,0.9653333333333333,0.8956666666666667,1.1196666666666666,1.059,1.008,1.05,1.0203333333333333,0.9603333333333334,1.036,1.001,0.9693333333333333,1.0243333333333333,1.01,0.9333333333333333,0.9063333333333333
45,Lucas Giolito,608337,15474,BOS,MLB,31.1,0.223,0.076,0.085,0.066,0.246,0.282,0.268,0.043,3.905,0.006,0.9916666666666666,1.0013333333333334,0.879,1.1546666666666665,0.996,1.072,1.0556666666666665,0.9956666666666667,0.9976666666666666,0.9983333333333333,1.0406666666666666,0.9189999999999999,0.9583333333333334,1.0863333333333334,0.9326666666666666,0.922
46,Brayan Bello,678394,23920,BOS,MLB,26.3,0.196,0.074,0.076,0.06,0.243,0.2,0.391,0.042,3.905,0.012,1.0666666666666667,0.9229999999999999,0.8803333333333333,1.138,1.0066666666666666,1.054,0.9913333333333333,1.0723333333333334,0.9923333333333333,1.0083333333333333,1.0346666666666666,0.939,0.9336666666666666,1.0913333333333333,1.0216666666666667,0.8266666666666667
47,Aroldis Chapman,547973,10233,BOS,MLB,37.5,0.356,0.087,0.088,0.059,0.234,0.273,0.341,0.041,3.905,0.006,0.9863333333333333,1.0066666666666668,0.9956666666666667,0.9893333333333333,1.1176666666666666,0.6906666666666667,1.063,0.8183333333333334,1.0146666666666666,0.987,0.9753333333333333,1.0333333333333334,0.997,1.0210000000000001,0.7943333333333333,1.6076666666666668
48,Garrett Whitlock,676477,20191,BOS,MLB,29.2,0.249,0.065,0.08,0.064,0.243,0.24,0.335,0.042,3.905,0.01,1.0326666666666666,0.947,0.976,1.0283333333333333,1.016,1.0446666666666666,0.9763333333333333,1.1,1.0026666666666666,0.9929999999999999,1.034,0.9313333333333333,0.953,1.089,0.9796666666666666,0.8593333333333333
49,Justin Wilson,458677,4301,BOS,MLB,38.0,0.26,0.073,0.084,0.06,0.243,0.251,0.307,0.047,3.905,0.008,0.9816666666666666,1.0283333333333333,1.0506666666666666,0.9076666666666666,1.054,0.8863333333333333,1.0736666666666668,0.8486666666666667,0.9806666666666666,1.031,0.976,1.0493333333333335,1.001,0.975,1.0253333333333334,1.0926666666666667
50,Greg Weissert,669711,20375,BOS,MLB,30.6,0.2,0.072,0.069,0.062,0.24,0.28,0.328,0.042,3.905,0.013,0.985,1.0146666666666666,0.8726666666666667,1.1753333333333333,0.9500000000000001,1.1503333333333334,1.0503333333333333,0.9946666666666667,0.9823333333333333,1.0206666666666666,1.025,0.9369999999999999,0.9833333333333333,1.0546666666666666,0.9666666666666667,0.874
