,Player,Team,SAVID,$,PA,PA 600,AB,R,HR,RBI,SB,AVG,OBP,SLG,K,BB,H,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
84,Salvador Perez,KC,521692.0,10.88,593.0,600,546,74,24,87,2,0.255,0.318,0.444,133,40,139,1078,112.5,72.94,52.0,60.5
85,Brice Turang,MIL,668930.0,8.08,564.0,600,545,68,10,60,36,0.241,0.308,0.353,112,51,131,1058,150.0,133.3733333333333,96.0,54.0
86,Seiya Suzuki,CHC,673548.0,12.42,562.0,600,528,77,22,82,12,0.26,0.345,0.455,149,64,137,1144,48.5,87.45333333333333,64.0,-15.5
87,Luis Garcia Jr.,WSH,671277.0,9.43,546.0,600,561,69,19,72,16,0.279,0.322,0.451,92,36,156,1109,80.0,124.04,86.0,-6.0
88,Brandon Lowe,TB,664040.0,12.84,500.0,600,535,86,28,82,7,0.24,0.319,0.455,158,55,128,1134,56.0,220.60666666666663,150.0,-94.0
89,Matt Chapman,SF,656305.0,10.14,629.0,600,531,75,23,85,9,0.245,0.328,0.454,153,59,129,1112,75.0,131.10666666666663,94.0,-19.0
90,Yainer Diaz,HOU,673237.0,12.05,548.0,600,567,81,22,88,3,0.282,0.318,0.466,110,26,159,1110,77.0,58.13333333333333,39.0,38.0
91,Heliot Ramos,SF,671218.0,11.96,572.0,600,549,75,26,81,7,0.245,0.304,0.446,158,45,134,1086,101.0,203.7733333333333,140.0,-39.0
92,Christian Yelich,MIL,592885.0,12.41,541.0,600,519,84,17,70,23,0.267,0.364,0.433,128,76,138,1175,36.0,108.58,74.0,-38.0
93,Anthony Volpe,NYY,683011.0,9.19,614.0,600,549,73,16,70,22,0.235,0.297,0.381,144,43,128,1039,178.5,146.29333333333332,102.0,76.5
94,Paul Goldschmidt,NYY,502671.0,9.58,616.0,600,541,74,21,76,7,0.246,0.317,0.422,158,53,133,1036,183.0,167.30666666666667,115.0,68.0
95,Dylan Crews,WSH,686611.0,10.19,582.0,600,537,75,16,63,26,0.241,0.318,0.39,130,47,128,1081,107.5,130.17333333333335,92.0,15.5
96,Pete Crow-Armstrong,CHC,691718.0,11.91,530.0,600,549,69,20,71,32,0.238,0.299,0.412,143,37,130,1128,62.5,141.14,99.0,-36.5
97,Cody Bellinger,NYY,641355.0,10.66,584.0,600,546,75,19,81,13,0.244,0.309,0.409,97,48,133,1070,122.0,110.41333333333333,76.0,46.0
98,Bo Bichette,TOR,666182.0,9.55,616.0,600,560,77,17,76,9,0.273,0.318,0.427,115,35,152,1060,147.0,131.24,95.0,52.0
99,Masyn Winn,STL,691026.0,8.62,630.0,600,554,81,13,58,23,0.253,0.308,0.383,105,41,140,1051,162.0,166.81333333333333,114.0,48.0
100,Dansby Swanson,CHC,621020.0,9.1,625.0,600,537,71,19,75,13,0.243,0.318,0.409,144,56,130,1053,156.0,190.16,134.0,22.0
101,Gleyber Torres,DET,650402.0,6.42,638.0,600,537,73,15,62,7,0.253,0.328,0.396,110,57,136,987,267.5,223.40666666666667,158.0,109.5
102,Maikel Garcia,KC,672580.0,8.35,544.0,600,554,72,12,62,27,0.258,0.312,0.382,113,43,143,1068,128.5,214.88666666666663,145.0,-16.5
103,Jorge Soler,LAA,624585.0,12.44,555.0,600,523,76,28,86,3,0.236,0.33,0.45,149,68,123,1105,86.0,222.6533333333333,156.0,-70.0
104,Jesus Sanchez,MIA,660821.0,12.31,536.0,600,541,76,23,81,12,0.257,0.326,0.451,155,52,138,1134,56.0,258.3,177.0,-121.0
105,Brandon Nimmo,NYM,607043.0,10.24,599.0,600,521,75,20,75,8,0.248,0.343,0.421,137,66,129,1081,107.5,165.72666666666666,111.0,-3.5
106,Vinnie Pasquantino,KC,686469.0,9.53,608.0,600,539,75,18,81,3,0.267,0.338,0.44,79,54,144,1069,125.0,114.68,77.0,48.0
107,Colton Cowser,BAL,681297.0,11.9,551.0,600,527,75,26,79,9,0.239,0.328,0.445,177,60,126,1112,75.0,157.62,109.0,-34.0
108,Junior Caminero,TB,691406.0,11.58,580.0,600,553,78,28,92,4,0.235,0.292,0.438,131,39,130,1074,118.0,94.44666666666669,70.0,48.0
109,Willson Contreras,STL,575929.0,9.77,572.0,600,510,73,22,78,7,0.247,0.357,0.434,148,67,125,1097,89.5,79.44,56.0,33.5
110,Yandy Diaz,TB,650490.0,7.81,659.0,600,538,84,18,59,0,0.277,0.348,0.44,99,53,149,1029,194.0,203.46,139.0,55.0
111,Andrew Vaughn,CWS,683734.0,9.4,606.0,600,550,71,21,82,3,0.247,0.305,0.421,127,38,135,1011,225.5,299.5733333333333,210.0,15.5
112,Jonathan India,KC,663697.0,6.27,601.0,600,512,77,14,53,12,0.253,0.361,0.402,121,67,129,1028,195.5,252.10666666666663,174.0,21.5
113,Jasson Dominguez,NYY,691176.0,11.84,524.0,600,531,80,20,67,26,0.222,0.309,0.387,154,62,117,1091,94.0,153.92,108.0,-14.0
114,Alex Bregman,BOS,608324.0,8.6,641.0,600,536,76,18,81,4,0.273,0.347,0.442,82,55,146,1076,115.5,128.65,89.5,26.0
118,Brendan Donovan,STL,680977.0,7.6,579.0,600,536,76,13,70,7,0.268,0.342,0.405,83,47,144,1025,198.5,244.82,169.0,29.5
119,Jeremy Pena,HOU,665161.0,7.6,631.0,600,557,68,15,70,14,0.253,0.304,0.388,113,32,140,1000,241.0,171.88,117.0,124.0
120,Jurickson Profar,ATL,595777.0,8.85,621.0,600,525,84,16,59,7,0.266,0.355,0.42,99,63,140,1050,163.5,186.26262626262627,128.5,35.0
124,Willi Castro,MIN,650489.0,7.76,545.0,600,530,68,15,68,18,0.244,0.329,0.395,142,50,129,1052,159.5,226.80666666666667,160.0,-0.5
125,Lourdes Gurriel Jr.,ARI,666971.0,11.13,560.0,600,556,75,18,85,7,0.262,0.312,0.424,109,35,145,1076,115.5,218.56,148.0,-32.5
126,Kerry Carpenter,DET,681481.0,14.36,486.0,600,546,80,28,93,4,0.264,0.326,0.489,150,43,144,1163,41.0,189.04,132.0,-91.0
127,Steven Kwan,CLE,680757.0,7.25,654.0,600,533,79,10,54,13,0.271,0.349,0.387,66,59,144,1023,204.5,146.35333333333332,103.0,101.5
128,Xavier Edwards,MIA,669364.0,8.04,588.0,600,541,78,8,52,33,0.269,0.338,0.37,106,55,145,1094,91.5,149.78666666666666,105.0,-13.5
129,Cedric Mullins II,BAL,656775.0,10.74,530.0,600,538,71,16,72,27,0.229,0.304,0.376,125,53,123,1068,128.5,212.61333333333332,144.0,-15.5
130,Spencer Steer,CIN,668715.0,9.46,552.0,600,527,70,19,72,17,0.245,0.334,0.417,126,63,129,1090,95.5,114.81333333333332,78.0,17.5
131,Zach Neto,LAA,687263.0,9.91,550.0,600,536,75,20,73,16,0.24,0.317,0.413,138,41,128,1080,109.5,168.01333333333332,116.0,-6.5
132,Tommy Edman,LAD,669242.0,10.46,539.0,600,551,76,14,73,20,0.247,0.307,0.385,104,42,135,1056,151.0,191.19333333333333,135.0,16.0
133,JJ Bleday,OAK,668709.0,8.65,613.0,600,528,74,17,73,5,0.232,0.32,0.396,124,65,122,1005,232.0,273.8545454545455,187.5,44.5
137,Nico Hoerner,CHC,663538.0,6.87,533.0,600,543,68,7,63,25,0.27,0.337,0.371,73,45,146,1038,180.5,174.71333333333334,119.0,61.5
138,Adley Rutschman,BAL,668939.0,7.43,615.0,600,530,78,16,66,2,0.265,0.348,0.417,97,65,140,1017,215.0,62.36666666666667,40.0,175.0
139,Byron Buxton,MIN,621439.0,15.15,454.0,600,543,83,29,91,10,0.242,0.311,0.47,163,43,132,1166,40.0,222.57333333333327,155.0,-115.0
140,George Springer,TOR,543807.0,8.49,599.0,600,537,74,16,66,11,0.239,0.316,0.376,118,55,128,1006,230.0,249.44666666666663,172.0,58.0
141,Christopher Morel,TB,666624.0,8.39,510.0,600,534,68,24,71,9,0.223,0.306,0.41,163,58,118,1025,198.5,272.6533333333333,184.0,14.5
142,Michael Toglia,COL,669911.0,9.55,546.0,600,537,70,25,75,8,0.226,0.305,0.426,190,60,121,1062,142.5,181.59333333333333,124.0,18.5
143,Alec Bohm,PHI,664761.0,8.17,612.0,600,550,74,17,80,5,0.272,0.328,0.433,92,42,150,1055,152.0,174.68666666666667,118.0,34.0
144,Jung Hoo Lee,SF,808982.0,9.88,547.0,600,551,74,13,78,10,0.283,0.339,0.416,65,40,155,1065,134.5,242.09333333333333,167.0,-32.5
145,Shea Langeliers,OAK,669127.0,11.09,502.0,600,545,74,26,86,5,0.227,0.295,0.432,164,47,123,1053,156.0,116.30909090909093,82.5,73.5
149,Matt Shaw,CHC,807713.0,13.41,470.0,600,541,85,25,82,23,0.254,0.323,0.457,122,45,137,1196,28.0,243.1,168.0,-140.0
150,Matt Wallner,MIN,670242.0,11.43,515.0,600,507,85,27,67,5,0.238,0.352,0.468,198,59,121,1116,73.0,274.6333333333333,191.0,-118.0
151,TJ Friedl,CIN,670770.0,10.18,527.0,600,533,81,15,66,18,0.246,0.326,0.395,97,48,130,1065,134.5,266.4,181.0,-46.5
152,Luis Arraez,SD,650333.0,5.71,655.0,600,561,79,8,55,5,0.298,0.342,0.404,39,32,167,981,276.5,186.42666666666668,131.0,145.5
153,Rhys Hoskins,MIL,656555.0,9.68,538.0,600,529,72,25,78,4,0.227,0.316,0.431,165,61,120,1042,174.0,283.72,194.0,-20.0
154,Parker Meadows,DET,678009.0,9.05,536.0,600,536,72,19,57,22,0.232,0.311,0.4,151,58,124,1065,134.5,176.85333333333332,122.0,12.5
155,Tyler Soderstrom,OAK,691016.0,10.21,522.0,600,536,73,27,79,2,0.237,0.314,0.444,152,55,127,1063,140.0,285.54545454545456,197.5,-57.5
159,Ryan McMahon,COL,641857.0,6.76,630.0,600,531,74,21,65,5,0.247,0.33,0.43,175,63,131,1031,191.5,288.49333333333334,200.0,-8.5
160,Isaac Paredes,HOU,670623.0,8.35,600.0,600,516,78,23,74,2,0.246,0.349,0.435,106,67,127,1080,109.5,207.46,142.0,-32.5
161,Colt Keith,DET,690993.0,7.3,524.0,600,554,69,16,72,6,0.262,0.315,0.412,117,41,145,1012,223.5,246.39333333333332,170.0,53.5
162,Tyler Fitzgerald,SF,666149.0,8.51,536.0,600,554,68,16,70,22,0.232,0.29,0.38,177,40,128,1025,198.5,250.0533333333333,173.0,25.5
163,Victor Robles,SEA,645302.0,8.99,523.0,600,542,78,12,53,30,0.231,0.304,0.349,114,37,125,1033,187.5,197.92,138.0,49.5
164,Jordan Walker,STL,691023.0,10.11,515.0,600,545,73,20,74,9,0.257,0.322,0.434,139,46,139,1065,134.5,284.05333333333334,195.0,-60.5
165,Royce Lewis,MIN,668904.0,11.13,522.0,600,544,80,27,87,2,0.257,0.322,0.47,134,50,140,1109,80.0,114.98666666666666,79.0,1.0
166,Will Smith,LAD,669257.0,9.5,501.0,600,522,75,22,77,3,0.255,0.349,0.449,110,62,132,1082,105.0,94.38666666666668,69.0,36.0
167,Michael Busch,CHC,683737.0,8.34,550.0,600,528,68,21,77,5,0.224,0.314,0.404,171,64,118,1013,221.5,247.26,171.0,50.5
168,Logan O'Hoppe,LAA,681351.0,9.67,484.0,600,549,68,30,73,3,0.254,0.315,0.472,164,42,138,1066,130.5,120.54,85.0,45.5
169,Garrett Mitchell,MIL,669003.0,11.69,459.0,600,534,70,20,79,23,0.227,0.308,0.395,190,61,121,1098,88.0,253.9,175.0,-87.0
170,Jake Cronenworth,SD,630105.0,6.73,600.0,600,531,66,16,70,6,0.247,0.332,0.399,112,57,131,1004,235.0,278.1333333333333,193.0,42.0
171,J.T. Realmuto,PHI,592663.0,10.53,462.0,600,544,75,22,76,12,0.253,0.321,0.439,153,44,137,1100,87.0,134.24,97.0,-10.0
172,Jake McCarthy,ARI,664983.0,9.31,506.0,600,544,69,8,73,26,0.257,0.325,0.371,105,42,139,1052,159.5,234.6,162.0,-2.5
173,Brandon Marsh,PHI,669016.0,10.22,489.0,600,527,77,18,68,16,0.244,0.332,0.415,184,66,128,1082,105.0,330.24,225.0,-120.0
174,Carlos Correa,MIN,621043.0,9.17,533.0,600,530,82,21,70,2,0.26,0.343,0.443,120,64,138,1076,115.5,241.52,165.0,-49.5
175,Otto Lopez,MIA,672640.0,7.47,462.0,600,559,68,14,62,19,0.276,0.323,0.414,106,37,154,1053,156.0,340.86,229.0,-73.0
176,Lars Nootbaar,STL,663457.0,10.07,499.0,600,518,72,20,73,11,0.253,0.353,0.431,119,79,131,1094,91.5,268.05333333333334,183.0,-91.5
177,Nathaniel Lowe,WSH,663993.0,6.35,599.0,600,521,65,14,72,4,0.257,0.352,0.395,134,73,134,1001,239.5,259.0133333333333,179.0,60.5
178,Nolan Arenado,STL,571448.0,6.41,618.0,600,548,69,16,76,3,0.262,0.322,0.406,98,45,143,1001,239.5,220.14666666666668,149.0,90.5
179,Francisco Alvarez,NYM,682626.0,10.16,464.0,600,539,76,25,78,4,0.234,0.307,0.432,148,51,125,1039,178.5,149.27333333333334,104.0,74.5
180,Ryan Mountcastle,BAL,663624.0,9.08,512.0,600,555,76,18,76,4,0.259,0.311,0.423,135,39,144,1028,195.5,241.54666666666665,166.0,29.5
181,Trevor Story,BOS,596115.0,9.05,494.0,600,544,70,18,71,21,0.226,0.295,0.387,180,46,122,1048,166.0,266.44,182.0,-16.0
182,Eugenio Suarez,ARI,553993.0,6.98,598.0,600,538,70,22,73,3,0.236,0.312,0.421,173,50,127,1022,207.5,161.35333333333332,110.0,97.5
183,Jo Adell,LAA,666176.0,10.86,462.0,600,550,72,23,72,18,0.216,0.277,0.396,179,40,118,1037,182.0,306.1,213.0,-31.0
184,Joc Pederson,TEX,592626.0,12.26,436.0,600,509,77,26,86,7,0.254,0.364,0.465,136,75,129,1157,43.0,344.53333333333336,230.0,-187.0
185,Wilyer Abreu,BOS,677800.0,11.08,460.0,600,540,75,22,76,10,0.254,0.326,0.453,163,56,136,1109,80.0,292.41333333333336,202.0,-122.0
186,Tyler O'Neill,BAL,641933.0,10.41,473.0,600,526,72,26,74,7,0.224,0.315,0.431,176,62,117,1045,168.5,183.81333333333333,126.0,42.5
187,Alec Burleson,STL,676475.0,10.11,481.0,600,555,79,17,72,8,0.268,0.319,0.423,82,38,148,1052,159.5,226.52666666666667,159.0,0.5
188,Jeimer Candelario,CIN,600869.0,8.89,493.0,600,546,71,21,74,7,0.244,0.31,0.428,139,45,132,1044,171.0,308.02666666666664,215.0,-44.0
189,Connor Norby,MIA,681393.0,7.17,565.0,600,545,75,21,64,10,0.232,0.298,0.405,173,45,126,1014,218.5,274.1,190.0,28.5
190,Josh Jung,TEX,673962.0,9.0,519.0,600,559,75,24,78,4,0.251,0.299,0.438,168,34,141,1044,171.0,204.04,141.0,30.0
