,Player,Team,SAVID,$,PA,PA 600,AB,R,HR,RBI,SB,AVG,OBP,SLG,K,BB,H,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
236,Nick Fortes,MIA,663743.0,1.43,345.0,600,561,59,8,53,3,0.23,0.278,0.328,92,26,128,788,399.0,553.2258064516129,430.0,-31.0
237,Will Benson,CIN,666181.0,10.48,202.0,600,528,71,20,65,28,0.211,0.3,0.389,207,65,109,1069,125.0,554.7272727272727,436.0,-311.0
238,Adrian Del Castillo,ARI,680728.0,4.68,158.0,600,543,64,18,60,2,0.222,0.29,0.387,170,45,121,912,371.5,460.1111111111111,295.0,76.5
239,Whit Merrifield,,593160.0,6.27,196.0,600,544,67,9,64,18,0.266,0.33,0.388,107,48,143,1021,210.0,560.3571428571429,450.0,-240.0
240,Nick Gonzales,PIT,693304.0,7.05,467.0,600,556,68,16,69,9,0.25,0.302,0.406,128,32,140,991,256.0,396.42,267.0,-11.0
241,Wenceel Perez,DET,672761.0,8.04,371.0,600,551,67,14,66,17,0.242,0.302,0.377,129,46,134,1004,235.0,515.8738738738739,360.0,-125.0
242,Victor Scott II,STL,687363.0,9.91,251.0,600,556,69,16,64,33,0.207,0.262,0.34,155,31,114,1014,218.5,441.06,286.0,-67.5
243,Nick Yorke,PIT,694377.0,6.73,199.0,600,542,66,15,63,16,0.25,0.318,0.393,144,48,135,1040,177.0,473.4275862068965,310.0,-133.0
244,Victor Caratini,HOU,605170.0,4.58,220.0,600,534,62,16,62,2,0.245,0.325,0.38,120,51,130,937,339.0,528.184,376.0,-37.0
245,Noelvi Marte,CIN,682622.0,9.31,185.0,600,561,71,22,71,20,0.254,0.3,0.42,152,32,142,1087,99.0,340.38926174496646,228.0,-129.0
246,Tyrone Taylor,NYM,621438.0,11.24,299.0,600,555,78,18,76,16,0.237,0.291,0.397,140,32,132,1054,153.5,531.6470588235294,377.0,-223.5
247,Will Brennan,CLE,686823.0,8.22,260.0,600,558,66,13,69,15,0.269,0.318,0.397,83,34,150,1030,193.0,542.5555555555555,409.0,-216.0
248,Sal Frelick,MIL,686217.0,5.96,437.0,600,539,65,8,57,20,0.246,0.32,0.345,94,54,133,965,305.5,396.9266666666667,268.0,37.5
249,Will Wagner,TOR,695238.0,6.86,340.0,600,557,70,15,72,5,0.247,0.299,0.392,107,35,137,954,317.5,490.7552447552448,326.0,-8.5
250,Yasmani Grandal,,518735.0,6.91,183.0,600,537,62,26,59,2,0.292,0.362,0.509,131,55,157,1117,72.0,550.0,422.0,-350.0
251,Michael Massey,KC,686681.0,7.85,474.0,600,558,70,17,77,5,0.247,0.296,0.405,113,31,137,1002,237.5,361.79333333333335,245.0,-7.5
252,Mike Siani,STL,672279.0,,257.0,600,555,60,7,56,22,0.22,0.277,0.301,158,39,121,883,390.0,,,
253,Zach McKinstry,DET,656716.0,4.73,227.0,600,544,63,13,60,19,0.234,0.301,0.371,129,47,126,982,274.0,545.0891089108911,412.0,-138.0
254,Adam Frazier,PIT,624428.0,,252.0,600,547,59,9,57,8,0.245,0.311,0.357,104,45,133,897,383.5,,,
255,Yoan Moncada,LAA,660162.0,6.26,461.0,600,551,70,18,71,5,0.24,0.299,0.402,169,40,132,975,287.0,536.2121212121212,385.5,-98.5
259,Mickey Moniak,LAA,666160.0,9.73,314.0,600,561,72,22,70,11,0.227,0.274,0.405,175,30,128,995,249.0,559.2666666666667,445.0,-196.0
260,Miguel Amaya,CHC,665804.0,5.38,324.0,600,538,70,16,61,2,0.238,0.313,0.385,118,42,127,931,344.5,383.14666666666665,261.0,83.5
261,Miguel Andujar,OAK,609280.0,8.0,314.0,600,567,72,13,70,7,0.261,0.3,0.385,89,28,149,970,297.0,538.5714285714286,395.5,-98.5
265,Mitch Haniger,SEA,571745.0,6.6,344.0,600,544,64,19,68,2,0.221,0.291,0.378,174,48,120,916,364.5,538.0535714285714,393.0,-28.5
266,Miguel Rojas,LAD,500743.0,4.71,171.0,600,554,63,10,63,9,0.266,0.32,0.379,73,38,147,951,324.0,569.3333333333334,471.0,-147.0
267,Miguel Vargas,CWS,678246.0,4.11,416.0,600,526,66,15,60,11,0.205,0.301,0.343,132,64,108,923,357.0,444.52,289.0,68.0
268,Mike Tauchman,CWS,643565.0,6.24,391.0,600,515,73,13,52,11,0.251,0.354,0.39,127,78,128,998,244.0,495.5116279069768,335.0,-91.0
269,Andrew Benintendi,CWS,643217.0,6.77,469.0,600,546,66,12,69,7,0.256,0.32,0.384,102,49,139,964,307.0,390.72,263.0,44.0
270,Wilmer Flores,SF,527038.0,6.34,354.0,600,535,67,18,66,2,0.252,0.329,0.415,91,54,135,986,269.5,566.3571428571429,458.0,-188.5
271,Mike Yastrzemski,SF,573262.0,6.65,476.0,600,534,65,18,66,4,0.225,0.307,0.398,160,56,121,952,320.5,454.17333333333335,293.0,27.5
272,Mitch Garver,SEA,641598.0,5.09,314.0,600,519,63,21,63,1,0.204,0.308,0.37,170,70,105,923,357.0,460.34013605442175,296.0,61.0
273,Tyler Black,MIL,672012.0,6.75,268.0,600,523,64,15,60,23,0.212,0.311,0.35,163,60,111,992,252.5,540.96875,401.0,-148.5
274,Oswaldo Cabrera,NYY,665828.0,4.88,357.0,600,552,70,13,62,11,0.233,0.292,0.352,122,43,129,937,339.0,556.8412698412699,441.0,-102.0
275,Ty France,MIN,664034.0,6.37,412.0,600,533,68,17,66,2,0.258,0.339,0.412,117,42,138,991,256.0,514.2456140350877,356.5,-100.5
279,Nolan Gorman,STL,669357.0,12.64,446.0,600,536,80,32,80,8,0.234,0.311,0.47,200,57,125,1128,62.5,390.91333333333336,264.0,-201.5
280,Ramon Laureano,BAL,657656.0,8.65,250.0,600,547,69,19,67,12,0.237,0.302,0.402,175,38,129,1009,227.5,522.5227272727273,370.5,-143.0
284,Ramon Urias,BAL,602104.0,3.88,275.0,600,545,65,15,63,3,0.246,0.313,0.387,130,45,133,940,336.0,559.5,446.0,-110.0
285,Randal Grichuk,ARI,545341.0,10.62,270.0,600,553,77,22,77,2,0.266,0.319,0.454,120,37,146,1085,102.0,550.4605263157895,423.0,-321.0
286,Taylor Walls,TB,670764.0,4.84,224.0,600,527,61,10,53,30,0.191,0.286,0.296,155,69,101,948,328.5,545.5,418.0,-89.5
287,Stuart Fairchild,CIN,656413.0,,231.0,600,532,70,20,67,22,0.225,0.31,0.395,158,49,119,1069,125.0,,,
288,Starling Marte,NYM,516782.0,9.7,291.0,600,546,74,14,70,18,0.253,0.318,0.387,136,39,138,1044,171.0,375.5533333333333,258.0,-87.0
289,Spencer Torkelson,DET,679529.0,5.15,243.0,600,535,64,19,61,3,0.218,0.299,0.385,155,56,116,924,354.0,370.9666666666666,254.0,100.0
290,Richie Palacios,TB,680700.0,6.05,315.0,600,527,66,13,62,17,0.232,0.323,0.356,112,64,121,976,284.5,494.3691275167785,330.0,-45.5
291,Alek Thomas,ARI,677950.0,8.19,305.0,600,556,70,13,70,13,0.242,0.293,0.38,120,35,135,974,289.5,517.887323943662,366.0,-76.5
292,Rob Refsnyder,BOS,608701.0,7.61,230.0,600,526,70,15,67,6,0.263,0.352,0.406,140,62,138,1023,204.5,568.3,469.0,-264.5
293,Robbie Grossman,,543257.0,,167.0,600,520,57,14,53,5,0.23,0.33,0.357,147,71,118,903,379.0,,,
294,Ryan Bliss,SEA,669208.0,8.33,222.0,600,545,67,18,51,38,0.217,0.284,0.361,167,43,118,1054,153.5,550.8695652173913,425.0,-271.5
295,Seth Brown,OAK,664913.0,7.39,342.0,600,550,66,21,70,6,0.226,0.286,0.395,163,43,124,967,300.5,465.96363636363634,300.5,0.0
299,Sean Bouchard,COL,656248.0,,160.0,600,532,67,18,63,15,0.242,0.322,0.4,168,56,127,1041,176.0,,,
300,Santiago Espinal,CIN,669289.0,5.79,225.0,600,552,66,10,64,14,0.262,0.318,0.374,88,42,144,960,312.0,564.7894736842105,456.0,-144.0
301,Andrew McCutchen,PIT,457705.0,6.43,458.0,600,518,64,18,70,5,0.226,0.327,0.388,148,73,117,975,287.0,557.6521739130435,443.0,-156.0
302,Sam Hilliard,COL,656541.0,10.66,228.0,600,536,71,23,71,17,0.226,0.303,0.416,186,57,121,1061,145.0,556.7173913043479,439.0,-294.0
303,Thairo Estrada,COL,642731.0,5.08,575.0,600,562,58,17,60,11,0.25,0.296,0.402,128,25,140,971,295.5,350.4765100671141,234.0,61.5
304,Alex Call,WSH,669743.0,5.81,236.0,600,523,63,12,58,16,0.23,0.328,0.358,111,66,119,978,282.0,561.8333333333334,454.0,-172.0
305,Thomas Saggese,STL,695336.0,5.72,220.0,600,556,65,16,65,8,0.23,0.284,0.37,152,32,128,932,342.5,546.7738095238095,420.0,-77.5
306,Trent Grisham,NYY,663757.0,,209.0,600,522,66,22,66,12,0.21,0.31,0.397,163,68,109,996,246.0,,,
307,Trey Sweeney,DET,700242.0,8.39,280.0,600,552,75,19,64,15,0.231,0.29,0.387,154,38,128,1021,210.0,491.5931034482759,327.0,-117.0
308,Oliver Dunn,MIL,686554.0,,269.0,600,555,64,20,64,14,0.21,0.268,0.361,191,37,115,947,330.0,,,
309,Amed Rosario,WSH,642708.0,6.56,230.0,600,568,67,10,65,18,0.26,0.297,0.378,117,26,148,980,280.0,532.1666666666666,379.5,-99.5
313,Orelvis Martinez,TOR,682619.0,7.21,216.0,600,536,69,22,69,3,0.228,0.306,0.408,158,50,122,990,261.0,536.29203539823,388.0,-127.0
314,Orlando Arcia,ATL,606115.0,6.12,506.0,600,552,72,16,66,3,0.233,0.292,0.37,123,43,128,925,351.5,429.7,280.0,71.5
315,Oscar Colas,CWS,693049.0,,176.0,600,559,64,17,64,9,0.233,0.283,0.373,156,34,129,924,354.0,,,
316,Oswald Peraza,NYY,672724.0,,192.0,600,534,68,15,65,22,0.228,0.314,0.363,137,46,121,1022,207.5,,,
317,Alex Verdugo,,657077.0,4.76,415.0,600,546,62,13,60,4,0.242,0.307,0.365,95,49,131,904,378.0,490.6103896103896,325.0,53.0
318,Tirso Ornelas,SD,672359.0,6.94,313.0,600,544,70,17,61,6,0.239,0.306,0.382,124,49,130,952,320.5,537.7307692307693,392.0,-71.5
319,Agustin Ramirez,MIA,682663.0,7.67,244.0,600,538,68,17,66,15,0.241,0.314,0.394,125,51,130,1017,215.0,448.9597315436242,292.0,-77.0
320,Travis d'Arnaud,LAA,518595.0,8.17,264.0,600,550,72,22,72,2,0.239,0.297,0.417,150,36,131,996,246.0,382.2133333333333,260.0,-14.0
321,Tommy Pham,PIT,502054.0,6.28,476.0,600,545,74,13,52,11,0.243,0.308,0.381,141,47,132,952,320.5,545.1212121212121,414.5,-94.0
325,Paul DeJong,WSH,657557.0,4.91,328.0,600,557,64,21,65,4,0.22,0.274,0.389,182,32,122,920,360.0,481.54651162790697,318.5,41.5
329,Tom Murphy,SF,608596.0,6.82,151.0,600,552,71,19,67,1,0.247,0.306,0.422,162,43,135,971,295.5,557.0,442.0,-146.5
330,Pavin Smith,ARI,656976.0,9.92,326.0,600,526,73,23,73,4,0.255,0.343,0.454,130,69,134,1078,112.5,400.4933333333333,270.0,-157.5
331,Pedro Pages,STL,686780.0,4.84,208.0,600,553,66,14,63,4,0.23,0.29,0.352,150,40,126,912,371.5,523.9375,374.0,-2.5
332,Carlos Santana,CLE,467793.0,8.27,555.0,600,531,69,19,78,4,0.238,0.323,0.403,107,63,126,1013,221.5,365.4533333333333,250.0,-28.5
333,Kyle Teel,CWS,691019.0,3.81,184.0,600,531,58,13,58,11,0.218,0.305,0.342,150,61,117,907,376.5,513.2923076923076,351.5,25.0
337,Michael A. Taylor,CWS,572191.0,5.11,178.0,600,552,60,16,57,11,0.21,0.272,0.347,192,43,114,852,395.0,597.0,484.0,-89.0
338,Hunter Renfroe,KC,592669.0,5.08,382.0,600,546,61,15,64,2,0.231,0.298,0.372,131,50,125,898,381.5,537.72,391.0,-9.5
339,Esteury Ruiz,OAK,665923.0,11.33,151.0,600,556,71,11,63,46,0.241,0.298,0.354,127,27,135,1124,65.0,495.030303030303,332.5,-267.5
343,Ezequiel Duran,TEX,677649.0,4.39,212.0,600,557,62,16,62,10,0.236,0.286,0.373,150,33,133,945,331.5,542.0625,408.0,-76.5
344,Bryan De La Cruz,ATL,650559.0,3.32,218.0,600,564,49,19,49,6,0.247,0.292,0.41,151,35,140,895,385.0,420.7671232876712,277.0,108.0
345,Brooks Lee,MIN,686797.0,6.05,416.0,600,552,72,14,63,7,0.243,0.3,0.373,115,44,134,945,331.5,395.2466666666666,266.0,65.5
346,Brooks Baldwin,CWS,681460.0,7.68,185.0,600,557,68,16,68,18,0.228,0.278,0.373,149,35,126,999,242.5,573.25,477.0,-234.5
347,Freddy Fermin,KC,666023.0,4.74,283.0,600,557,65,12,63,4,0.253,0.305,0.375,118,38,142,924,354.0,361.8733333333333,246.0,108.0
348,Gabriel Arias,CLE,672356.0,6.56,158.0,600,546,68,18,64,18,0.221,0.285,0.378,189,45,121,985,271.5,575.0,479.0,-207.5
349,Gary Sanchez,BAL,596142.0,6.84,248.0,600,537,70,21,67,2,0.22,0.297,0.393,157,50,118,958,314.0,519.1176470588235,367.0,-53.0
350,Gavin Lux,CIN,666158.0,4.98,550.0,600,540,62,16,61,6,0.256,0.328,0.407,132,56,138,990,261.0,359.8,242.5,18.5
354,Geraldo Perdomo,ARI,672695.0,3.95,512.0,600,528,66,8,56,14,0.231,0.322,0.338,100,64,121,923,357.0,455.0133333333333,294.0,63.0
355,Gio Urshela,OAK,570482.0,4.05,377.0,600,560,66,12,66,2,0.269,0.316,0.393,101,36,151,956,315.5,502.2909090909091,338.5,-23.0
359,Griffin Conine,MIA,665052.0,7.75,324.0,600,548,68,22,66,2,0.24,0.302,0.418,168,42,131,966,303.5,539.925925925926,398.0,-94.5
360,Harrison Bader,MIN,664056.0,11.35,334.0,600,555,75,16,73,24,0.252,0.305,0.401,120,34,140,1087,99.0,517.3205128205128,362.5,-263.5
364,Brett Wisely,SF,689172.0,3.99,156.0,600,561,61,15,57,9,0.216,0.266,0.344,153,34,123,884,389.0,570.6666666666666,476.0,-87.0
365,Enrique Hernandez,LAD,571771.0,4.56,276.0,600,552,69,15,67,2,0.232,0.293,0.373,121,41,128,920,360.0,553.3888888888889,431.0,-71.0
366,J.D. Martinez,,502110.0,7.54,391.0,600,540,70,21,70,2,0.235,0.307,0.416,184,53,127,1002,237.5,556.8243243243244,440.0,-202.5
367,J.P. Crawford,SEA,641487.0,5.48,564.0,600,518,65,17,63,5,0.244,0.345,0.398,126,74,126,995,249.0,441.5,287.0,-38.0
368,Jace Jung,DET,690291.0,2.42,353.0,600,520,59,16,59,4,0.211,0.314,0.364,166,73,108,897,383.5,484.30405405405406,321.0,62.5
369,Brendan Rodgers,HOU,663898.0,6.91,254.0,600,550,73,16,70,3,0.243,0.302,0.388,134,42,134,961,310.5,493.41333333333336,329.0,-18.5
370,Jacob Melton,HOU,689200.0,13.1,203.0,600,552,76,17,76,35,0.232,0.292,0.389,153,44,127,1133,58.0,525.3473684210526,375.0,-317.0
371,Jacob Stallings,COL,607732.0,4.11,288.0,600,537,66,14,58,1,0.243,0.319,0.386,145,52,131,919,362.0,491.7214285714286,328.0,34.0
372,Jacob Wilson,OAK,805779.0,3.29,489.0,600,543,66,7,58,6,0.251,0.319,0.347,66,45,136,892,387.0,355.1545454545454,237.5,149.5
376,Jake Fraley,CIN,641584.0,12.44,408.0,600,542,75,17,77,27,0.254,0.323,0.408,113,48,138,1137,53.0,403.97333333333336,271.0,-218.0
377,Jake Mangum,TB,663968.0,8.94,152.0,600,560,71,15,67,18,0.242,0.289,0.367,122,27,134,981,276.5,577.0,481.0,-204.5
378,Jake Meyers,HOU,676694.0,7.8,421.0,600,544,71,17,64,10,0.23,0.3,0.384,141,42,125,981,276.5,472.9256756756757,308.0,-31.5
379,Jake Rogers,DET,668670.0,7.0,344.0,600,549,68,22,68,3,0.22,0.282,0.394,179,43,120,944,333.0,487.80272108843536,323.0,10.0
380,James McCann,,543510.0,7.48,186.0,600,558,70,19,70,4,0.25,0.3,0.42,151,32,138,1011,225.5,592.0,483.0,-257.5
381,Brayan Rocchio,CLE,677587.0,4.23,512.0,600,534,64,11,56,15,0.217,0.301,0.333,131,56,116,915,367.0,438.3422818791946,285.0,82.0
382,Ernie Clement,TOR,676391.0,6.53,319.0,600,568,69,13,69,15,0.263,0.299,0.387,63,24,148,1008,229.0,387.64666666666665,262.0,-33.0
383,Endy Rodriguez,PIT,682848.0,4.33,363.0,600,538,61,14,62,5,0.236,0.312,0.376,133,54,127,927,348.0,433.3378378378378,282.0,66.0
384,Max Kepler,PHI,596146.0,9.42,457.0,600,548,74,22,73,2,0.245,0.306,0.427,126,43,133,1024,201.5,410.2905405405405,273.0,-71.5
385,Daulton Varsho,TOR,662139.0,7.38,560.0,600,541,65,17,70,10,0.206,0.281,0.354,151,52,111,939,337.0,352.7733333333333,235.0,102.0
386,Chas McCormick,HOU,676801.0,10.43,413.0,600,537,71,21,71,17,0.239,0.315,0.41,153,50,127,1069,125.0,447.7,291.0,-166.0
387,Chase Meidroth,CWS,805367.0,3.73,252.0,600,511,59,11,59,11,0.239,0.351,0.361,114,73,121,951,324.0,553.4285714285714,433.5,-109.5
391,Chris Taylor,LAD,621035.0,5.51,271.0,600,531,66,15,64,10,0.213,0.3,0.357,194,59,112,936,341.0,560.7,452.0,-111.0
392,Christian Vazquez,MIN,543877.0,3.34,290.0,600,562,62,10,60,4,0.239,0.282,0.351,134,31,134,861,394.0,559.5666666666667,448.0,-54.0
393,Carlos Narvaez,BOS,665966.0,4.83,190.0,600,527,63,15,60,9,0.225,0.32,0.367,173,63,116,950,326.5,550.5,424.0,-97.5
394,Coby Mayo,BAL,691723.0,4.42,155.0,600,530,65,19,61,5,0.225,0.313,0.388,162,58,120,963,308.0,367.4666666666666,251.0,57.0
395,Colby Thomas,OAK,687515.0,10.74,156.0,600,550,73,23,73,14,0.227,0.29,0.4,169,34,123,1063,140.0,473.9519230769231,312.5,-172.5
399,Colson Montgomery,CWS,695657.0,3.38,423.0,600,519,58,17,56,6,0.209,0.313,0.352,174,60,109,894,386.0,489.3076923076923,324.0,62.0
400,Connor Joe,SD,656582.0,4.14,316.0,600,527,62,15,58,5,0.225,0.317,0.36,136,60,119,902,380.0,542.0,405.5,-25.5
404,Caleb Durbin,MIL,702332.0,12.54,250.0,600,528,79,16,76,34,0.255,0.344,0.41,72,50,134,1191,30.0,422.62,279.0,-249.0
405,D.J. LeMahieu,NYY,518934.0,4.38,342.0,600,535,64,14,61,2,0.24,0.32,0.361,124,59,128,915,367.0,541.4516129032259,403.0,-36.0
406,Dairon Blanco,KC,680118.0,18.0,181.0,600,550,82,16,76,69,0.23,0.291,0.37,145,39,125,1311,8.0,545.2045454545455,417.0,-409.0
407,Dane Myers,MIA,667472.0,9.06,268.0,600,548,71,15,69,16,0.247,0.309,0.384,167,38,136,1021,210.0,552.0,428.5,-218.5
408,David Fry,CLE,681807.0,7.82,180.0,600,526,70,20,70,6,0.242,0.333,0.414,136,56,126,1042,174.0,461.72972972972974,298.0,-124.0
409,Eloy Jimenez,TB,650391.0,7.32,238.0,600,554,68,20,68,4,0.248,0.303,0.403,118,40,138,977,283.0,523.5454545454545,373.0,-90.0
410,David Peralta,,444482.0,,248.0,600,554,62,12,60,4,0.252,0.305,0.369,123,38,140,907,376.5,,,
411,Davis Schneider,TOR,676914.0,5.76,222.0,600,521,64,21,62,7,0.207,0.306,0.389,183,67,108,966,303.5,560.8125,453.0,-149.5
412,Derek Hill,MIA,656537.0,6.59,256.0,600,564,63,14,63,15,0.225,0.266,0.348,171,28,126,929,346.0,549.4,421.0,-75.0
413,Deyvison De Los Santos,MIA,691277.0,6.54,352.0,600,565,68,20,66,3,0.224,0.266,0.389,170,28,126,910,374.0,416.0466666666667,275.0,99.0
414,Dillon Dingler,DET,693307.0,7.18,237.0,600,551,68,22,65,6,0.227,0.285,0.402,177,30,126,972,293.5,559.7142857142857,449.0,-155.5
415,Donovan Solano,SEA,456781.0,3.42,352.0,600,538,63,10,59,2,0.253,0.328,0.363,138,47,136,911,373.0,570.2,473.5,-100.5
419,Drew Romo,COL,691011.0,4.31,212.0,600,560,62,14,62,5,0.225,0.274,0.362,175,31,127,878,392.0,544.6779661016949,410.0,-18.0
420,Dylan Moore,SEA,664238.0,7.57,375.0,600,515,68,17,59,27,0.2,0.311,0.356,176,68,102,1032,189.5,361.94,247.0,-57.5
421,Edgar Quero,CWS,700337.0,3.18,172.0,600,523,59,13,59,2,0.236,0.329,0.366,122,55,125,881,391.0,433.2837837837838,281.0,110.0
422,Edmundo Sosa,PHI,624641.0,7.37,190.0,600,552,69,18,69,9,0.242,0.301,0.407,145,25,132,1014,218.5,521.875,368.0,-149.5
423,Edouard Julien,MIN,666397.0,6.17,314.0,600,521,66,19,63,9,0.221,0.321,0.382,189,74,114,975,287.0,545.5164835164835,419.0,-132.0
424,Eguy Rosario,SD,666703.0,6.92,234.0,600,561,71,17,69,15,0.217,0.264,0.361,176,30,123,952,320.5,559.5333333333333,447.0,-126.5
425,Elias Diaz,SD,553869.0,4.21,321.0,600,557,63,14,61,2,0.244,0.296,0.375,130,37,136,891,388.0,512.0568181818181,348.0,40.0
426,Jared Triolo,PIT,669707.0,3.28,245.0,600,531,58,12,56,11,0.227,0.313,0.338,161,58,120,914,369.0,552.0,428.5,-59.5
427,Jarred Kelenic,ATL,672284.0,6.99,242.0,600,542,59,22,59,12,0.238,0.306,0.414,178,52,128,1012,223.5,473.3489932885906,309.0,-85.5
428,Jason Heyward,SD,518792.0,6.17,323.0,600,542,63,16,65,6,0.23,0.302,0.373,118,50,124,937,339.0,498.0,336.0,3.0
429,Luis Matos,SF,682641.0,8.17,201.0,600,552,71,11,71,12,0.257,0.313,0.389,86,38,143,995,249.0,560.4,451.0,-202.0
430,Kris Bryant,COL,592178.0,5.75,429.0,600,534,68,13,71,1,0.238,0.319,0.375,138,51,127,932,342.5,502.4222222222222,341.0,1.5
431,Kyle Farmer,COL,571657.0,4.88,269.0,600,542,64,15,62,5,0.248,0.319,0.399,133,40,133,950,326.5,551.0,427.0,-100.5
432,Kyle Higashioka,TEX,543309.0,8.75,288.0,600,564,72,25,72,4,0.223,0.267,0.405,166,33,125,991,256.0,391.6533333333333,265.0,-9.0
433,Kyle Isbel,KC,664728.0,7.42,458.0,600,555,72,11,64,14,0.241,0.295,0.37,121,37,133,965,305.5,544.9578947368421,411.0,-105.5
434,Kyle Manzardo,CLE,700932.0,9.31,446.0,600,551,80,25,69,2,0.223,0.281,0.424,152,39,123,999,242.5,375.4333333333333,257.0,-14.5
435,Ben Gamel,HOU,592325.0,4.58,190.0,600,514,60,15,56,6,0.235,0.339,0.376,142,75,120,951,324.0,574.0,478.0,-154.0
436,Kyle Stowers,MIA,669065.0,7.14,383.0,600,553,67,18,68,3,0.235,0.293,0.399,187,39,130,956,315.5,510.0298507462687,347.0,-31.5
437,Carson Kelly,CHC,608348.0,4.95,292.0,600,542,65,16,63,2,0.235,0.308,0.379,123,49,127,928,347.0,537.6909090909091,390.0,-43.0
438,LaMonte Wade Jr.,SF,664774.0,7.87,455.0,600,503,84,17,60,4,0.255,0.373,0.415,123,87,127,1059,148.5,461.20666666666665,297.0,-148.5
439,Austin Slater,CWS,596103.0,4.81,230.0,600,524,60,13,57,10,0.234,0.331,0.353,166,67,122,926,349.5,513.0,349.0,0.5
440,Lenyn Sosa,CWS,672820.0,5.63,360.0,600,570,58,20,65,4,0.266,0.299,0.431,131,23,151,976,284.5,466.2684563758389,303.0,-18.5
441,Leody Taveras,TEX,665750.0,9.35,354.0,600,550,71,15,67,20,0.249,0.307,0.393,127,45,137,1034,185.0,445.9,290.0,-105.0
442,Luis Campusano,SD,669134.0,7.35,301.0,600,556,71,17,71,2,0.263,0.313,0.416,85,35,147,984,273.0,397.1666666666667,269.0,4.0
443,Austin Hedges,CLE,595978.0,,186.0,600,554,48,6,45,5,0.184,0.245,0.252,151,38,103,685,400.0,,,
444,Javier Baez,DET,595879.0,6.03,327.0,600,559,66,16,64,11,0.225,0.273,0.362,141,29,126,920,360.0,568.7058823529412,470.0,-110.0
445,Austin Hays,CIN,669720.0,9.98,442.0,600,551,78,21,71,5,0.248,0.306,0.427,142,36,137,1032,189.5,471.125,305.5,-116.0
449,Luis Torrens,NYM,620443.0,7.83,154.0,600,553,74,19,70,2,0.252,0.311,0.412,144,38,140,1004,235.0,565.2,457.0,-222.0
450,Luis Urias,OAK,649966.0,4.84,248.0,600,520,67,16,65,7,0.227,0.329,0.377,137,62,118,986,269.5,567.0,459.0,-189.5
451,Luisangel Acuna,NYM,682668.0,10.94,176.0,600,562,75,17,71,31,0.235,0.283,0.366,122,34,132,1106,84.5,381.9266666666667,259.0,-174.5
452,MJ Melendez,KC,669004.0,7.94,471.0,600,540,67,20,68,7,0.228,0.302,0.405,157,53,123,992,252.5,419.64,276.0,-23.5
453,Anthony Rizzo,,519203.0,2.12,326.0,600,530,57,12,57,0,0.227,0.315,0.344,126,47,119,842,396.0,541.3333333333334,402.0,-6.0
454,Angel Martinez,CLE,682657.0,3.99,195.0,600,541,61,9,58,10,0.215,0.289,0.313,129,49,116,866,393.0,540.6666666666666,400.0,-7.0
455,Mark Canha,MIL,592192.0,2.54,235.0,600,515,56,12,53,7,0.234,0.34,0.352,120,61,120,917,363.0,555.53125,437.0,-74.0
456,Andy Pages,LAD,681624.0,7.81,285.0,600,543,58,29,58,6,0.265,0.33,0.489,143,40,145,1069,125.0,361.9866666666667,248.0,-123.0
457,Masataka Yoshida,BOS,807799.0,9.16,391.0,600,547,75,15,79,5,0.281,0.341,0.432,84,38,153,1062,142.5,436.2266666666667,284.0,-141.5
458,Andy Ibanez,DET,628451.0,,205.0,600,556,64,14,64,5,0.248,0.301,0.382,125,38,137,941,334.5,,,
459,Matt Mervis,MIA,670223.0,5.81,336.0,600,544,64,17,69,4,0.216,0.284,0.372,169,42,117,908,375.0,558.0333333333333,444.0,-69.0
460,Mauricio Dubon,HOU,643289.0,6.22,356.0,600,569,69,13,65,7,0.257,0.295,0.383,85,26,146,941,334.5,477.3469387755102,315.0,19.5
461,Korey Lee,CWS,686676.0,3.28,208.0,600,565,60,14,54,10,0.2,0.244,0.326,178,31,112,825,397.0,508.89830508474574,346.0,51.0
462,Kevin Newman,LAA,621028.0,5.25,218.0,600,561,66,8,63,14,0.259,0.307,0.357,93,35,145,948,328.5,562.2608695652174,455.0,-126.5
463,Ben Rortvedt,TB,666163.0,1.07,231.0,600,524,54,10,54,4,0.201,0.299,0.307,155,64,106,793,398.0,517.5,365.0,33.0
464,Ke'Bryan Hayes,PIT,663647.0,4.85,529.0,600,559,68,11,65,11,0.252,0.3,0.373,117,36,140,959,313.0,373.56666666666666,256.0,57.0
465,Javier Sanoja,MIA,691594.0,,183.0,600,560,68,13,65,20,0.259,0.307,0.375,65,36,144,1034,185.0,,,
466,Jeff McNeil,NYM,643446.0,6.0,488.0,600,540,70,11,68,7,0.256,0.327,0.377,79,43,138,980,280.0,406.4866666666667,272.0,8.0
467,Jerar Encarnacion,SF,666464.0,12.02,245.0,600,560,83,24,80,4,0.24,0.286,0.44,159,34,134,1048,166.0,513.3793103448276,354.0,-188.0
468,Jesse Winker,NYM,608385.0,7.63,409.0,600,510,67,16,67,10,0.241,0.352,0.382,130,77,123,1020,212.5,421.58,278.0,-65.5
469,Jhonkensy Noel,CLE,678877.0,10.38,353.0,600,543,67,32,76,1,0.223,0.292,0.455,169,40,120,1023,204.5,373.08,255.0,-50.5
470,Joey Gallo,CWS,608336.0,5.65,206.0,600,518,61,26,61,4,0.172,0.284,0.358,235,75,90,898,381.5,576.0,480.0,-98.5
