BatterName,batter,PA_flag,AB_flag,Is_Hit,PitchesThrown,SwungOn,ContactMade_Foul,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,EV 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,0.5,0.5,0,0.5,0.2,93.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,47,10,0.5,0.3,0.2,0.4,0.375,92.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,34,6,0.666666667,0.333333333,0,0.333333333,0.5,93.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,33,5,0.4,0.2,0.4,0.4,0.230769231,86.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,0,0,0.5,0,0.166666667,83.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,51,6,0.333333333,0.5,0,0.333333333,0.137931034,90.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,50,7,0,0,0.714285714,0.142857143,0.153846154,89.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,29,8,0.5,0.125,0.25,0.25,0.333333333,95.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,27,4,0.75,0,0,0,0.142857143,75.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,42,4,0.5,0,0.5,0,0.269230769,86.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,52,6,0.166666667,0.333333333,0.333333333,0.333333333,0.347826087,94.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,63,5,0.4,0,0.4,0.2,0.272727273,90.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,39,7,0.285714286,0.285714286,0.285714286,0.142857143,0.266666667,96.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,,,,,0.375,91.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,66,11,0.545454545,0.090909091,0.363636364,0.090909091,0.35,92.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,8,0.125,0.25,0.5,0.375,0.4,94.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,52,9,0.111111111,0.222222222,0.555555556,0.555555556,0.04,81.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,0,0,0,0,81.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2,0.5,0,0.5,0,0.083333333,88.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,35,7,0.571428571,0,0.285714286,0,0.222222222,87.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,0.2,0.4,0.2,0.6,0.142857143,92.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,0.5,0,0.5,0,0,92.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4,0.5,0,0,0,0.4,91.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0.333333333,0,0,0,0,86.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,41,7,0.571428571,0.142857143,0,0.142857143,0.333333333,80.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,43,8,0.25,0.25,0.5,0.625,0.481481481,92.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,41,8,0.375,0.375,0.25,0.375,0.043478261,92.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,45,6,0.166666667,0.666666667,0.166666667,0.666666667,0.16,90
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,0,0.5,0.5,1,0.25,90.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,60,8,0.5,0.125,0.375,0.25,0.2,88.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,35,8,0.5,0.25,0.25,0.25,0.277777778,90.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,0.25,0.25,0.5,0.25,0.333333333,87.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,48,9,0.222222222,0,0.777777778,0.222222222,0.238095238,92.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,4,0.5,0.25,0.25,0.25,0.727272727,85.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,58,8,0.5,0,0.5,0,0.36,97.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,51,4,0.75,0.25,0,0.25,0.107142857,87.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,1,0,0,0,0.5,88.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0.333333333,0.666666667,0,0.666666667,1,92.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.68
