BatterName,batter,PA_flag,AB_flag,Is_Hit,PitchesThrown,SwungOn,ContactMade_Foul,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,EV 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,8,0.625,0.25,0.125,0.25,0.411764706,88.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2,0.5,0.5,0,0.5,0.25,90.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5,0.8,0.2,0,0,0.272727273,94.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,28,7,0.428571429,0.285714286,0.285714286,0.571428571,0.266666667,90.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,36,10,0.3,0.3,0.4,0.3,0.071428571,96.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,42,4,0.5,0,0.5,0,0.263157895,86.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,1,0,0,0,0.142857143,81.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,4,0.25,0.5,0.25,0.75,0.466666667,88.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,8,0.375,0,0.25,0.125,0.583333333,91.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,0.5,0,0.25,0.5,0.2,89.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,62,4,0.5,0.25,0.25,0.25,0.266666667,89.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,0.5,0.5,0,0.5,0.5,82.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,0.333333333,0,0.666666667,0.666666667,0.2,89.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,48,10,0.3,0.2,0.5,0.3,0.391304348,95.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,38,7,0.285714286,0.285714286,0.285714286,0.428571429,0.235294118,91.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,1,0,0,0,0.444444444,91.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,51,9,0.444444444,0.222222222,0.333333333,0.222222222,0.310344828,89.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,0,0,0,0.25,91.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,0.333333333,0,0.666666667,0,0.666666667,91.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5,0.6,0,0.2,0,0.375,87.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,84,6,0.333333333,0.166666667,0.333333333,0.333333333,0.214285714,89.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2,1,0,0,0,0,90.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,0.333333333,0.666666667,0,0.666666667,0.6,87.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,0.5,0,0.5,0,0.277777778,90.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2,0,1,0,1,0.444444444,92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,0.333333333,0,0.666666667,0.666666667,0,89.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3,0,0.666666667,0,0.666666667,0.238095238,95.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,8,0.125,0.25,0.375,0.375,0.388888889,93.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,41,9,0.333333333,0.222222222,0.333333333,0.444444444,0.333333333,93.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,28,5,0.6,0.4,0,0.4,0.294117647,91.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,0.666666667,0,0.333333333,0.333333333,0.25,96.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,0.5,0.5,0,0.5,0.25,89.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,34,4,0.25,0.5,0,0.5,0.434782609,90.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,0.5,0.5,0,0.5,0,89.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,0.666666667,0,0.333333333,0.333333333,0.444444444,90.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,0.25,0,0.75,0.25,0.5,91.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,48,8,0.125,0.375,0.25,0.5,0.294117647,92.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,0,0,0.75,0.25,0.333333333,90.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4,0.5,0.25,0.25,0.25,0.416666667,87.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,0,0.25,0.75,0.75,0.375,87.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,0.4,0.2,0.2,0.2,0.5,90.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,74,8,0.5,0.125,0.25,0.125,0.136363636,82.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,49,7,0.428571429,0.285714286,0.285714286,0.428571429,0.347826087,90.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,39,4,0.5,0.25,0,0.25,0.083333333,81.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,47,9,0.777777778,0,0.111111111,0.111111111,0.090909091,89.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,41,5,0.6,0.2,0.2,0.4,0.45,93.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,36,7,0.142857143,0.142857143,0.571428571,0.285714286,0.5625,94.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,51,9,0,0.555555556,0.444444444,0.555555556,0.074074074,89.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,29,8,0.5,0.5,0,0.5,0.333333333,92.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5,0.6,0.4,0,0.4,0.166666667,88.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,64,10,0.1,0.2,0.4,0.3,0.264705882,88.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,46,7,0.285714286,0.428571429,0.285714286,0.571428571,0.217391304,93.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,0.5,0.5,0,0.5,0.125,87.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,52,8,0.25,0.125,0.375,0.25,0.318181818,90.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,38,10,0.4,0.2,0.3,0.2,0.235294118,84.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,29,7,0.428571429,0.285714286,0.142857143,0.285714286,0.333333333,95.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2,0.5,0,0.5,0,0.153846154,86.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4,0.5,0,0.5,0.25,0.538461538,90.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,5,0,0.6,0.4,0.8,0.375,93.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,45,11,0.636363636,0.181818182,0.090909091,0.181818182,0.19047619,92.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3,0.666666667,0,0.333333333,0,0.384615385,89.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,38,9,0.555555556,0.333333333,0.111111111,0.444444444,0.294117647,95.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,44,8,0.125,0.125,0.625,0.375,0.208333333,90.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,46,7,0.285714286,0.285714286,0.428571429,0.428571429,0.333333333,90.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,32,7,0.571428571,0.142857143,0.285714286,0.428571429,0.076923077,94.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,0.5,0,0.5,0,0.333333333,89.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,35,5,0.2,0.6,0.2,0.4,0.444444444,97.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,35,8,0.125,0,0.625,0.25,0.5,94.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,45,9,0.444444444,0.333333333,0.111111111,0.444444444,0.454545455,89.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4,0,0.5,0.5,0.75,0.333333333,89.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,35,6,0.5,0.333333333,0.166666667,0.333333333,0.15,83.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,0,1,0,0,0,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,51,9,0.666666667,0,0.333333333,0,0.192307692,93.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,0.666666667,0,0.333333333,0.333333333,0.6,93.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,30,7,0.285714286,0.285714286,0.285714286,0.428571429,0.277777778,93.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,0.25,0.5,0,0.5,0.303030303,83.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,59,15,0.8,0.066666667,0.133333333,0.066666667,0.4,97.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,28,9,0.777777778,0,0.222222222,0.333333333,0.4,90.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,52,10,0.5,0.1,0.4,0.2,0.347826087,93.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,8,0.75,0.25,0,0.25,0.428571429,90.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,46,7,0.142857143,0.142857143,0.714285714,0.428571429,0.125,86.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,57,9,0.666666667,0.222222222,0.111111111,0.222222222,0.303030303,90.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,7,0,0.285714286,0.571428571,0.571428571,0.357142857,91.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,52,7,0.714285714,0,0.142857143,0.142857143,0.379310345,91.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,38,6,0,0.166666667,0.666666667,0.5,0.352941176,92.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,0,0.5,0.5,0.5,0.142857143,84.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,55,7,0.571428571,0,0.142857143,0,0.28125,92.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,0.5,0.5,0,0.5,0.230769231,91.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,0.5,0.5,0,0.5,0,85.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1,0,0,1,1,0.083333333,92.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,59,7,0.285714286,0.285714286,0.428571429,0.714285714,0.228571429,91.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,61,7,0.428571429,0.142857143,0.285714286,0.142857143,0.121212121,91.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,8,0.25,0.5,0.25,0.625,0.111111111,92.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,54,6,0.333333333,0.666666667,0,0.666666667,0.233333333,94.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,72,10,0.4,0.1,0.3,0.3,0.4,90.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,0,0,1,0,0.5,82.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,57,5,0,0.4,0.2,0.4,0.096774194,88.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,0.5,0.5,0,1,0.3,93.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,43,14,0.5,0.214285714,0.285714286,0.214285714,0.375,93.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,8,0.375,0.5,0.125,0.375,0.444444444,92.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,0.4,0.2,0,0.2,0.142857143,93.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,1,0,0,0,0.4,92.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,0,1,0,1,87.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,43,10,0.4,0.3,0.2,0.4,0.409090909,97.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,35,8,0.375,0.625,0,0.5,0.2,93.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,0.5,0.5,0,0.5,0.222222222,78.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,22,5,0.4,0.2,0.4,0.2,0.333333333,83.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,1,0,0,0,0.5,92.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4,0.5,0,0,0,0.454545455,92.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,48,9,0.111111111,0.333333333,0.444444444,0.333333333,0.083333333,92.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,62,8,0.375,0.125,0.375,0,0.333333333,93.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,51,13,0.461538462,0.230769231,0.307692308,0.307692308,0.37037037,94.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0.333333333,0.333333333,0.333333333,0.5,0,97.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0.333333333,0.333333333,0,0.333333333,0.333333333,90.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,41,6,0.833333333,0,0.166666667,0,0.166666667,89.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,50,10,0.2,0.3,0.3,0.3,0.125,93.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,0,0,1,1,0.111111111,90.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,36,10,0.5,0.1,0.4,0.2,0.294117647,91.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,49,6,0.5,0,0.5,0,0.185185185,80.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,48,8,0.75,0.125,0,0.25,0.451612903,90.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,30,5,0.8,0.2,0,0.2,0.307692308,86.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,0.5,0.5,0,0.5,0.25,84.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2,0.5,0.5,0,0,0.125,91.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,68,10,0.4,0.1,0.5,0.2,0.27027027,89.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,0,0,0,0,92.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,44,7,0.428571429,0.428571429,0.142857143,0.428571429,0.217391304,93.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,0.5,0,0,0,0.333333333,89.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2,0,0.5,0.5,0.5,0.333333333,87.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,27,11,0.363636364,0.363636364,0.272727273,0.272727273,0.071428571,90.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,60,6,0.333333333,0,0.333333333,0.166666667,0.151515152,92.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,0,0.25,0.5,0.25,0.333333333,90.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,69,12,0.25,0.333333333,0.333333333,0.416666667,0.243243243,95.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,42,6,0.666666667,0.166666667,0.166666667,0.666666667,0.142857143,87.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,61,6,0.166666667,0.5,0.333333333,0.333333333,0.388888889,91.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,7,0.714285714,0.142857143,0.142857143,0.285714286,0.222222222,89.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,0.4,0.2,0.2,0.4,0,92.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7,0.142857143,0.428571429,0.285714286,0.428571429,0.428571429,92.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,0,0,0,0.4,93.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,30,8,0.5,0.375,0.125,0.5,0.307692308,92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,29,6,0.166666667,0.333333333,0.5,0.5,0.083333333,86.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,33,6,0.333333333,0.166666667,0.166666667,0.333333333,0.222222222,91.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,5,0,0.2,0.4,0.4,0.444444444,90.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,22,5,0.6,0.2,0,0.2,0.153846154,90.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,52,7,0.142857143,0.571428571,0.285714286,0.428571429,0.115384615,88.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,43,5,0.6,0,0.4,0.2,0.238095238,91.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,37,10,0.5,0.2,0.2,0.2,0.19047619,92.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,27,5,0,0.6,0.4,1,0.214285714,88.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4,0.25,0.5,0.25,0.75,0.466666667,92.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,1,0,0,0,0,90.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,32,6,0.5,0.166666667,0.166666667,0.333333333,0.368421053,88.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4,0.25,0.25,0.25,0.25,0.142857143,89.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,41,7,0.142857143,0.285714286,0.428571429,0.285714286,0.380952381,93.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,24,7,0.714285714,0,0.142857143,0,0.166666667,91.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,4,0.5,0.25,0.25,0.25,0.0625,93.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,0.5,0,0.5,0,0.285714286,90.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,43,7,0.428571429,0.285714286,0.285714286,0.428571429,0.12,89.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,53,8,0.5,0,0.375,0.375,0,92.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,39,5,0.4,0,0.4,0.2,0.125,90.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3,0.666666667,0.333333333,0,0.333333333,0.117647059,88.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,0.25,0.75,0,0.75,0.0625,89.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,54,6,0.333333333,0.5,0.166666667,0.5,0.259259259,88.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,59,8,0.5,0.25,0.25,0.375,0.078947368,84.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,0.5,0,0.5,0.5,0.1,85.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,,,,,0.5,89.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,53,11,0.181818182,0.363636364,0.454545455,0.363636364,0.347826087,93.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,68,7,0.285714286,0.142857143,0.428571429,0.285714286,0.257142857,86.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,65,10,0.3,0.3,0.1,0.3,0.266666667,87.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,1,0,0,0,0.111111111,89.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,34,6,0.5,0.5,0,0.666666667,0.117647059,86.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,34,4,0.5,0.25,0.25,0.25,0.277777778,93.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,27,4,0.5,0,0.5,0.25,0.285714286,64.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,1,0,0,0,0.2,90.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,34,9,0.555555556,0.333333333,0,0.444444444,0.285714286,86.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,43,11,0.636363636,0.181818182,0.181818182,0.272727273,0.375,91.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,34,6,0.5,0.166666667,0.166666667,0.166666667,0.4,93.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,40,11,0.454545455,0.090909091,0.272727273,0.181818182,0.333333333,91.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,47,7,0.285714286,0.285714286,0.428571429,0.428571429,0.285714286,87.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0.5,0,0,0,0.5,88.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,4,0.5,0.25,0.25,0,0.076923077,92.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4,0.25,0.25,0.5,0.75,0.416666667,94.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,67,12,0.333333333,0.25,0.083333333,0.25,0.382352941,93.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,52,6,0.333333333,0.333333333,0.333333333,0.5,0.068965517,92.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,0.25,0.25,0.5,0.25,0.5,92.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,33,6,0.166666667,0.5,0.333333333,0.5,0.181818182,92.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,4,0.5,0.25,0.25,0.5,0.375,97.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,71,9,0.555555556,0.333333333,0.111111111,0.333333333,0.205882353,89.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,0.5,0,0,0,0.5,89.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,0.666666667,0.333333333,0,0.333333333,0.5,87.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5,0.4,0.6,0,0.6,0.555555556,90.3
