,Pitcher,Team,$,GS,IP,IP 180,K,ERA,WHIP,W,H,ER,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
230,Bryse Wilson,CWS,6.77,12.0,92.4,180,151,4.15,1.27,5,172,83,224.1,175.0,500.0,147.5,27.5
242,Ian Anderson,ATL,6.68,15.0,82.1,180,173,4.15,1.39,13,169,83,266.12,176.0,550.2151898734177,168.0,8.0
200,Jordan Montgomery,ARI,6.53,16.0,105.0,180,137,4.25,1.35,10,183,85,232.65,177.0,401.38666666666666,115.0,62.0
238,J.T. Ginn,OAK,6.41,12.0,82.8,180,154,4.1,1.24,6,168,82,216.9,178.0,581.0,190.0,-12.0
233,Griffin Canning,NYM,6.35,12.0,88.5,180,160,4.35,1.35,8,170,87,229.52,179.5,537.1238938053098,159.0,20.5
234,Patrick Corbin,FA,6.35,16.0,87.7,180,155,4.3,1.3,12,183,86,241.73,179.5,591.0,191.0,-11.5
245,Matt Waldron,SD,6.33,12.0,77.5,180,153,4.05,1.18,9,171,81,224.17,181.0,546.4555555555555,165.0,16.0
142,Cal Quantrill,MIA,6.22,24.0,128.7,180,128,4.85,1.56,8,183,97,210.18,182.0,548.3333333333334,166.0,16.0
243,Cade Povich,BAL,6.15,14.0,80.6,180,160,4.2,1.32,8,166,84,221.35,183.0,463.39473684210526,127.0,56.0
173,Kyle Hendricks,LAA,5.43,23.0,116.1,180,122,4.8,1.45,12,198,96,202.22,184.0,565.5714285714286,181.0,3.0
249,Johan Oviedo,PIT,5.06,10.0,72.5,180,161,4.3,1.4,7,168,86,186.92,185.0,572.2,186.0,-1.0
251,Caden Dana,LAA,5.03,12.0,64.4,180,162,4.15,1.32,11,169,83,202.3,186.0,568.2941176470588,183.0,3.0
250,Nick Nastrini,CWS,4.94,12.0,68.0,180,166,4.35,1.41,7,153,87,186.0,187.0,500.0,147.5,39.5
252,Clayton Kershaw,LAD,4.66,11.0,58.0,180,158,4.15,1.25,15,173,83,204.9,188.0,509.0357142857143,152.0,36.0
248,Randy Vasquez,SD,3.98,12.0,74.2,180,133,4.35,1.32,9,178,87,149.15,189.0,571.3181818181819,184.0,5.0
228,Jack Kochanowicz,LAA,3.25,14.0,93.2,180,94,4.5,1.29,9,199,90,106.7,190.0,545.7272727272727,164.0,26.0
253,Alex Wood,FA,2.76,11.0,57.6,180,146,4.65,1.4,9,177,93,116.8,191.0,500.0,147.5,43.5
