,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,BrlHR,Brl3B,Brl2B,Brl1B,BrlBABIP,BrlOut,SolidHR,Solid3B,Solid2B,Solid1B,SolidBABIP,SolidOut,FlareHR,Flare3B,Flare2B,Flare1B,FlareBABIP,FlareOut,UnderHR,Under3B,Under2B,Under1B,UnderBABIP,UnderOut,ToppedHR,Topped3B,Topped2B,Topped1B,ToppedBABIP,ToppedOut,WeakHR,Weak3B,Weak2B,Weak1B,WeakBABIP,WeakOut,SBAtt%,SBSuccess%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
667,Brian Navarreto,640459,16398,MIA,MLB,30.4,0.226,0.058,0.056,0.061,0.254,0.278,0.303,0.048,0.44,0.0,0.14,0.0,0.685,0.31499999999999995,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.008,0.099,0.552,0.659,0.34099999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.142,0.142,0.858,0.0198,0.8,3.9092224069473023,0.007462686567164179,1.016,0.964,0.893,0.991,1.023,1.089,1.021,1.054,0.981,1.023,1.016,0.953,0.994,1.026,0.964,0.841
668,Troy Johnston,687859,sa3010899,MIA,MLB,27.9,0.23,0.058,0.064,0.058,0.272,0.239,0.321,0.046,0.47,0.0,0.17,0.0,0.69,0.31000000000000005,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.008,0.099,0.552,0.659,0.34099999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.147,0.147,0.853,0.0,0.0,0.0,0.204,0.204,0.796,0.18370243902439023,0.8710526315789474,3.9092224069473023,0.02367758186397985,0.968,1.051,1.125,0.991,1.062,0.826,1.071,0.854,1.019,0.977,0.94,1.091,1.058,0.922,0.821,1.374
669,Bennett Hostetler,702315,sa3017120,MIA,MLB,27.6,0.273,0.06,0.074,0.053,0.27,0.204,0.326,0.074,0.47,0.0,0.17,0.0,0.69,0.31000000000000005,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.008,0.099,0.552,0.659,0.34099999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.142,0.142,0.858,0.10707272727272726,0.8250000000000001,3.9092224069473023,0.03291384317521781,1.016,0.964,0.893,0.991,1.023,1.089,1.021,1.054,0.981,1.023,1.016,0.953,0.994,1.026,0.964,0.841
670,Jack Winkler,676466,sa3017393,MIA,MLB,26.5,0.231,0.071,0.05,0.045,0.286,0.201,0.328,0.089,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.008,0.099,0.552,0.659,0.34099999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.142,0.142,0.858,0.2334363636363636,0.8380597014925373,3.9092224069473023,0.024603174603174603,1.016,0.964,0.893,0.991,1.023,1.089,1.021,1.054,0.981,1.023,1.016,0.953,0.994,1.026,0.964,0.841
671,Harrison Spohn,695461,sa3020093,MIA,MLB,26.4,0.298,0.085,0.058,0.048,0.285,0.216,0.297,0.097,0.47,0.0,0.17,0.0,0.69,0.31000000000000005,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.008,0.099,0.552,0.659,0.34099999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.142,0.142,0.858,0.12414782608695651,0.6200000000000001,3.9092224069473023,0.005547850208044383,1.016,0.964,0.893,0.991,1.023,1.089,1.021,1.054,0.981,1.023,1.016,0.953,0.994,1.026,0.964,0.841
672,Jakob Marsee,805300,sa3019868,MIA,MLB,23.8,0.224,0.122,0.062,0.049,0.284,0.225,0.279,0.101,0.47,0.0,0.17,0.0,0.69,0.31000000000000005,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.008,0.099,0.552,0.659,0.34099999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.147,0.147,0.853,0.0,0.0,0.0,0.204,0.204,0.796,0.3347606299212599,0.8500000000000001,3.9092224069473023,0.03194321206743567,0.968,1.051,1.125,0.991,1.062,0.826,1.071,0.854,1.019,0.977,0.94,1.091,1.058,0.922,0.821,1.374
673,Jacob Berry,694351,sa3019825,MIA,MLB,24.0,0.243,0.078,0.057,0.048,0.287,0.214,0.298,0.096,0.47,0.0,0.17,0.0,0.69,0.31000000000000005,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.008,0.099,0.552,0.659,0.34099999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.147,0.147,0.853,0.0,0.0,0.0,0.204,0.204,0.796,0.15234437869822487,0.8363636363636364,3.9092224069473023,0.02129547471162378,0.968,0.964,1.125,0.991,1.062,1.089,1.071,1.054,1.019,1.023,0.94,0.953,1.058,1.026,0.821,0.841
674,Andrew Pintar,801464,sa3020715,MIA,MLB,24.1,0.249,0.078,0.043,0.041,0.282,0.189,0.363,0.082,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.008,0.099,0.552,0.659,0.34099999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.142,0.142,0.858,0.2016181818181818,0.7965909090909091,3.9092224069473023,0.013740458015267175,1.016,0.964,0.893,0.991,1.023,1.089,1.021,1.054,0.981,1.023,1.016,0.953,0.994,1.026,0.964,0.841
675,Albert Almora Jr.,546991,14109,MIA,MLB,31.1,,,0.026,0.053,0.243,0.233,0.387,0.059,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.013,0.113,0.517,0.643,0.357,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.012,0.125,0.137,0.863,0.0,0.0,0.0,0.142,0.142,0.858,0.18775580110497236,0.7681818181818182,3.657439446366782,0.006717044500419815,1.016,0.964,0.893,0.991,1.023,1.089,1.021,1.054,0.981,1.023,1.016,0.953,0.994,1.026,0.964,0.841
676,Heriberto Hernandez,681715,sa3005630,MIA,MLB,25.4,0.297,0.111,0.088,0.065,0.18,0.293,0.323,0.052,0.47,0.0,0.17,0.0,0.69,0.31000000000000005,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.008,0.099,0.552,0.659,0.34099999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.142,0.142,0.858,0.07075541401273885,0.8250000000000001,3.9092224069473023,0.020367936925098553,1.016,0.964,0.893,0.991,1.023,1.089,1.021,1.054,0.981,1.023,1.016,0.953,0.994,1.026,0.964,0.841
