,Player,Team,FGID,SAVID,Age,PA,AB,BIP,K,K%,BB,BB%,SF,HBP,BABIP,Brl%,Solid%,Flare%,Topped%,Under%,Weak%,H,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS,R,RBI,SB Att,SB,CS,Pos,$,Deep $,G
0,Max Kepler,PHI,12144,596146.0,32,455.0,416.0,321.0,97.0,0.21217999999999995,33.0,0.07228571428571429,1.0,5.0,0.317,0.083,0.074,0.239,0.262,0.314,0.028,102.0,62.0,21.0,3.0,17.0,178.0,0.245,0.306,0.427,0.733,54.0,56.0,2.5,1.4,1.0,OF,1.0,3.74,101.0
0,Michael A. Taylor,CWS,11489,572191.0,34,178.0,164.0,105.0,59.0,0.330696,13.0,0.07314285714285713,0.0,1.0,0.332,0.117,0.043,0.232,0.277,0.25,0.081,35.0,22.0,6.0,0.0,6.0,65.0,0.213,0.275,0.369,0.644,19.0,19.0,6.7,5.6,1.0,,1.0,1.0,40.0
0,Michael Massey,KC,27684,686681.0,27,474.0,441.0,353.0,90.0,0.1894,25.0,0.052339421227487325,1.0,7.0,0.309,0.074,0.07,0.251,0.268,0.3,0.038,109.0,69.0,24.0,3.0,14.0,181.0,0.247,0.297,0.405,0.702,56.0,60.0,4.7,3.7,1.0,2B,1.0,3.99,105.0
0,Kyle Farmer,COL,14813,571657.0,34,271.0,245.0,185.0,60.0,0.22194,18.0,0.06730606733691841,1.0,7.0,0.329,0.063,0.059,0.255,0.284,0.3,0.039,61.0,40.0,12.0,1.0,7.0,98.0,0.249,0.319,0.401,0.72,30.0,29.0,5.4,2.6,3.0,"2B, 3B",1.0,1.07,60.0
0,Korey Lee,CWS,25543,686676.0,26,209.0,197.0,135.0,62.0,0.2986,11.0,0.05077142857142858,0.0,1.0,0.291,0.069,0.044,0.209,0.366,0.261,0.052,39.0,26.0,7.0,0.0,6.0,66.0,0.199,0.243,0.326,0.569,21.0,19.0,4.7,3.4,1.0,,1.0,1.0,46.0
0,Jeff McNeil,NYM,15362,643446.0,32,486.0,439.0,374.0,65.0,0.134132,35.0,0.07103392857142857,1.0,12.0,0.3,0.033,0.06,0.25,0.297,0.308,0.052,112.0,79.0,22.0,2.0,9.0,171.0,0.256,0.327,0.378,0.705,57.0,55.0,6.6,5.9,1.0,"2B, OF",1.0,3.62,108.0
0,Jose Iglesias,SD,,578428.0,35,278.0,260.0,219.0,42.0,0.1504200792602378,13.0,0.045408863275117076,0.0,5.0,0.351,0.011382113821138212,0.030894308943089432,0.3056910569105691,0.38699186991869916,0.2048780487804878,0.06016260162601626,77.0,59.0,15.0,0.0,2.0,100.0,0.295,0.339,0.382,0.721,32.0,31.0,3.6,2.2,1.0,"2B, 3B",1.0,0.9,62.0
0,Jerar Encarnacion,SF,21871,666464.0,27,245.0,229.0,165.0,65.0,0.2657142857142857,14.0,0.055438175270108046,1.0,2.0,0.33,0.113,0.1,0.204,0.391,0.169,0.023,54.0,31.0,13.0,1.0,10.0,100.0,0.238,0.284,0.431,0.715,33.0,33.0,1.7,1.4,0.0,,1.0,1.0,54.0
0,Jesse Winker,NYM,13590,608385.0,31,407.0,347.0,259.0,88.0,0.2167,53.0,0.1307776595744681,1.0,6.0,0.322,0.072,0.041,0.267,0.328,0.255,0.037,84.0,57.0,16.0,1.0,11.0,137.0,0.241,0.352,0.382,0.734,45.0,45.0,11.9,8.2,4.0,OF,1.0,3.07,90.0
0,Jhonkensy Noel,CLE,24257,678877.0,23,351.0,318.0,220.0,99.0,0.283030303030303,24.0,0.06894660894660895,1.0,8.0,0.321,0.148,0.048,0.178,0.325,0.278,0.024,71.0,36.0,17.0,1.0,17.0,140.0,0.222,0.292,0.443,0.734,43.0,44.0,2.5,1.0,1.0,OF,1.0,2.72,78.0
