,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,Unnamed: 0,System,ADP,xMLBAMID,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,FIP,MLBID,$,Deep $
110,Tyler Glasnow,LAD,14374,607192.0,548.0,133.1,23.0,102.56,54.32,11.0,13.3,0.0,50.0,15.0,1.0,0.312,11.6,171.0,39.0,2.6,0.072,1.0,66.24000000000001,19.32,2.0,3.38,1.06,0.502,0.231,0.214,80.106,157.50799999999998,79.59899999999999,,,,,,,,,,,,,,,,,12.53,9.43
111,Cal Quantrill,MIA,19312,615698.0,597.0,132.3,24.0,133.24,73.72,6.0,11.5,0.0,68.0,19.0,1.3,0.165,6.7,99.0,57.0,3.9,0.095,9.0,85.56,26.68,2.0,4.63,1.44,0.431,0.241,0.261,114.8805,189.8505,106.06049999999999,,,,,,,,,,,,,,,,,1.0,1.8
112,Max Meyer,MIA,27474,676974.0,579.0,132.2,24.0,127.64000000000001,66.92999999999999,5.0,7.2,0.0,62.0,18.0,1.2,0.198,7.8,115.0,45.0,3.1,0.078,6.0,81.88000000000001,25.76,2.0,4.22,1.31,0.464,0.241,0.236,103.912,187.293,100.7695,,,,,,,,,,,,,,,,,1.0,3.94
113,Andrew Heaney,PIT,15423,571760.0,551.0,129.8,23.0,114.68,62.08,6.0,8.8,0.0,57.0,17.0,1.2,0.231,8.8,127.0,40.0,2.8,0.072,10.0,71.76,23.92,2.0,3.95,1.19,0.379,0.241,0.296,106.75200000000001,155.32799999999997,92.352,,,,,,,,,,,,,,,,,1.0,5.85
114,Kutter Crawford,BOS,20531,676710.0,553.0,129.5,19.0,117.76,64.99,6.0,7.6,0.0,60.0,21.0,1.5,0.238,9.2,132.0,39.0,2.7,0.07,6.0,69.0,25.76,2.0,4.17,1.21,0.341,0.236,0.322,111.16200000000002,147.261,90.916,,,,,,,,,,,,,,,,,5.87,5.27
115,Kyle Gibson,FA,10123,502043.0,572.0,128.7,23.0,128.56,66.92999999999999,8.0,12.2,0.0,62.0,18.0,1.3,0.207,8.3,118.0,48.0,3.4,0.084,5.0,84.64,23.92,2.0,4.34,1.37,0.473,0.24,0.23,99.47,183.309,97.44,,,,,,,,,,,,,,,,,1.0,3.68
116,Tyler Mahle,TEX,16358,641816.0,546.0,128.5,23.0,109.24000000000001,59.17,8.0,9.9,0.0,55.0,18.0,1.3,0.249,9.5,136.0,44.0,3.1,0.081,2.0,69.0,20.240000000000002,2.0,3.85,1.19,0.372,0.24,0.299,102.29699999999998,146.76600000000002,87.84,,,,,,,,,,,,,,,,,1.0,6.34
117,Justin Verlander,SF,8700,434378.0,543.0,128.3,22.0,111.60000000000001,56.26,8.0,12.6,0.0,52.0,13.0,0.9,0.201,7.6,109.0,38.0,2.7,0.07,5.0,72.68,23.92,2.0,3.65,1.17,0.355,0.236,0.31,112.86000000000001,155.42999999999998,94.24799999999999,,,,,,,,,,,,,,,,,1.0,6.79
118,Javier Assad,CHC,21741,665871.0,564.0,127.5,22.0,120.36,66.92999999999999,6.0,8.0,0.0,62.0,18.0,1.3,0.204,8.1,115.0,53.0,3.7,0.094,4.0,76.36,23.0,3.0,4.38,1.36,0.429,0.242,0.262,103.35600000000001,170.082,95.43599999999999,,,,,,,,,,,,,,,,,1.0,3.43
119,Jose Quintana,MIL,11423,500779.0,551.0,127.2,23.0,114.44,59.17,8.0,9.8,0.0,55.0,13.0,0.9,0.194,7.6,107.0,46.0,3.3,0.084,5.0,76.36,22.080000000000002,3.0,3.89,1.26,0.464,0.241,0.236,98.704,177.906,95.719,,,,,,,,,,,,,,,,,1.0,5.44
120,Kyle Harrison,SF,27758,690986.0,547.0,127.0,24.0,115.60000000000001,63.05,6.0,7.5,0.0,58.0,17.0,1.2,0.226,8.8,124.0,43.0,3.0,0.078,9.0,72.68,23.92,2.0,4.11,1.25,0.397,0.24,0.283,103.16999999999999,157.13,91.2,,,,,,,,,,,,,,,,,1.0,4.96
121,Jordan Hicks,SF,19618,663855.0,560.0,126.5,22.0,117.2,64.02,5.0,6.1,0.0,59.0,14.0,1.0,0.228,9.1,128.0,54.0,3.8,0.097,11.0,77.28,23.92,2.0,4.2,1.35,0.54,0.227,0.193,85.617,183.32999999999998,88.26299999999999,,,,,,,,,,,,,,,,,1.0,3.77
122,Simeon Woods Richardson,MIN,24494,680573.0,548.0,126.3,25.0,116.60000000000001,63.05,7.0,7.8,0.0,58.0,18.0,1.3,0.21,8.2,115.0,45.0,3.2,0.082,3.0,72.68,23.92,2.0,4.13,1.28,0.358,0.235,0.309,110.386,152.872,92.14999999999999,,,,,,,,,,,,,,,,,1.0,4.66
123,Sean Burke,CWS,29878,680732.0,541.0,126.2,22.0,108.08000000000001,58.199999999999996,4.0,4.5,0.0,54.0,15.0,1.1,0.247,9.6,134.0,46.0,3.3,0.085,6.0,70.84,20.240000000000002,2.0,3.85,1.22,0.47,0.239,0.233,88.98649999999999,162.45,86.45949999999999,,,,,,,,,,,,,,,,,1.0,5.6
124,Davis Martin,CWS,21448,663436.0,543.0,124.5,23.0,116.60000000000001,64.02,5.0,6.6,0.0,59.0,18.0,1.3,0.203,8.0,110.0,45.0,3.3,0.083,9.0,74.52000000000001,22.080000000000002,2.0,4.27,1.3,0.403,0.243,0.277,104.17800000000001,161.602,93.702,,,,,,,,,,,,,,,,,1.0,3.87
125,DJ Herz,WSH,26389,687792.0,530.0,124.4,22.0,101.72,58.199999999999996,5.0,4.5,0.0,54.0,16.0,1.2,0.267,10.3,142.0,48.0,3.5,0.091,4.0,63.480000000000004,20.240000000000002,2.0,3.91,1.2,0.367,0.239,0.302,95.54,135.48999999999998,81.42999999999999,,,,,,,,,,,,,,,,,6.66,5.79
126,Jacob deGrom,TEX,10954,594798.0,491.0,124.2,22.0,86.76,43.65,9.0,11.6,0.0,40.0,14.0,1.0,0.357,12.7,175.0,24.0,1.7,0.049,1.0,55.2,16.560000000000002,1.0,2.9,0.89,0.391,0.241,0.286,79.71600000000001,119.866,70.226,,,,,,,,,,,,,,,,,15.63,11.44
127,Antonio Senzatela,COL,15488,622608.0,543.0,123.6,22.0,128.64,64.02,7.0,10.5,0.0,59.0,18.0,1.3,0.171,6.8,93.0,34.0,2.5,0.063,3.0,82.8,24.84,3.0,4.3,1.32,0.509,0.228,0.212,98.17599999999999,195.312,97.344,,,,,,,,,,,,,,,,,1.0,3.9
128,Casey Mize,DET,20492,663554.0,532.0,123.2,24.0,116.44,58.199999999999996,6.0,8.5,0.0,54.0,16.0,1.2,0.194,7.5,103.0,37.0,2.7,0.07,2.0,76.36,22.080000000000002,2.0,3.94,1.25,0.471,0.239,0.232,96.432,176.596,93.884,,,,,,,,,,,,,,,,,1.0,5.13
129,Lucas Giolito,BOS,15474,608337.0,530.0,122.9,22.0,111.16,62.08,8.0,11.4,0.0,57.0,18.0,1.3,0.264,10.3,140.0,43.0,3.1,0.081,5.0,67.16,23.0,3.0,4.17,1.25,0.388,0.242,0.287,94.90449999999998,141.923,83.627,,,,,,,,,,,,,,,,,1.0,5.24
130,Bailey Falter,PIT,20070,663559.0,538.0,122.7,21.0,123.12,64.02,6.0,7.6,0.0,59.0,18.0,1.3,0.176,7.0,95.0,39.0,2.9,0.072,3.0,77.28,24.84,3.0,4.33,1.32,0.383,0.241,0.292,111.504,164.226,97.16199999999999,,,,,,,,,,,,,,,,,1.0,3.67
131,Edward Cabrera,MIA,21690,665795.0,544.0,122.2,23.0,104.48000000000002,64.02,5.0,7.8,0.0,59.0,16.0,1.2,0.257,10.3,140.0,66.0,4.9,0.122,9.0,66.24000000000001,20.240000000000002,2.0,4.35,1.4,0.477,0.238,0.228,82.472,153.28300000000002,80.782,,,,,,,,,,,,,,,,,1.0,3.34
132,Luis Gil,NYY,21052,661563.0,524.0,120.6,21.0,97.12,59.17,7.0,7.3,0.0,55.0,17.0,1.3,0.255,10.0,134.0,58.0,4.3,0.11,6.0,60.720000000000006,18.400000000000002,1.0,4.1,1.29,0.345,0.236,0.319,96.11399999999999,128.64999999999998,79.01599999999999,,,,,,,,,,,,,,,,,5.44,5.01
133,Mitch Spence,OAK,27707,687765.0,517.0,119.1,20.0,113.52000000000001,57.23,6.0,8.3,0.0,53.0,14.0,1.1,0.202,7.9,104.0,37.0,2.8,0.072,5.0,73.60000000000001,23.92,2.0,4.01,1.26,0.476,0.239,0.228,91.744,170.32799999999997,90.05199999999999,,,,,,,,,,,,,,,,,1.0,4.89
134,Marcus Stroman,NYY,13431,573186.0,529.0,118.6,19.0,116.36,61.11,7.0,9.3,0.0,56.0,15.0,1.1,0.188,7.5,99.0,47.0,3.6,0.088,4.0,77.28,22.080000000000002,2.0,4.25,1.38,0.513,0.228,0.209,89.81349999999999,180.58450000000002,89.622,,,,,,,,,,,,,,,,,1.0,3.67
135,Kyle Hendricks,LAA,12049,543294.0,526.0,118.1,23.0,126.88000000000001,64.99,8.0,10.5,0.0,60.0,20.0,1.5,0.166,6.6,87.0,36.0,2.7,0.068,4.0,80.96000000000001,23.92,2.0,4.57,1.38,0.429,0.242,0.261,104.9815,173.0885,97.12299999999999,,,,,,,,,,,,,,,,,1.0,2.88
136,Colin Rea,CHC,12317,607067.0,501.0,116.1,19.0,112.0,59.17,6.0,7.4,0.0,55.0,18.0,1.4,0.201,7.8,101.0,33.0,2.6,0.066,6.0,70.84,21.16,2.0,4.26,1.25,0.412,0.243,0.272,97.622,154.507,88.6305,,,,,,,,,,,,,,,,,1.0,4.41
137,Kumar Rocker,TEX,31843,677958.0,487.0,115.2,22.0,96.80000000000001,50.44,6.0,4.0,0.0,47.0,13.0,1.0,0.265,10.1,129.0,37.0,2.9,0.075,5.0,64.4,18.400000000000002,1.0,3.67,1.16,0.552,0.223,0.188,71.904,157.611,74.3115,,,,,,,,,,,,,,,,,7.82,6.59
138,Grant Holmes,ATL,16944,656550.0,477.0,113.7,16.0,102.64000000000001,51.41,5.0,3.2,0.0,47.0,16.0,1.3,0.246,9.3,117.0,25.0,2.0,0.053,3.0,65.32000000000001,19.32,2.0,3.72,1.12,0.422,0.244,0.265,87.9375,142.71,81.07,,,,,,,,,,,,,,,,,7.72,6.56
139,Drew Rasmussen,TB,25385,656876.0,463.0,113.4,18.0,89.36,44.62,6.0,6.9,0.0,41.0,12.0,1.0,0.284,10.4,131.0,27.0,2.1,0.058,2.0,58.88,17.48,1.0,3.25,1.03,0.482,0.239,0.223,73.6575,139.07999999999998,73.0475,,,,,,,,,,,,,,,,,10.62,8.4
140,Trevor Williams,WSH,16977,592866.0,486.0,113.2,17.0,103.56,55.29,4.0,5.2,0.0,51.0,17.0,1.4,0.211,8.2,103.0,35.0,2.8,0.073,3.0,65.32000000000001,20.240000000000002,1.0,4.05,1.22,0.388,0.241,0.287,95.17799999999998,142.33200000000002,83.694,,,,,,,,,,,,,,,,,1.0,4.78
141,Shohei Ohtani,LAD,19755,660271.0,469.0,113.0,20.0,85.84,48.5,10.0,12.0,0.0,45.0,14.0,1.1,0.315,11.8,148.0,38.0,3.0,0.082,5.0,54.28,16.560000000000002,1.0,3.58,1.1,0.419,0.244,0.267,74.57050000000001,120.1335,68.486,,,,,,,,,,,,,,,,,10.16,7.98
142,Jackson Jobe,DET,30203,695549.0,483.0,112.7,18.0,95.12,52.379999999999995,5.0,5.5,0.0,48.0,14.0,1.1,0.252,9.7,122.0,43.0,3.4,0.089,5.0,61.64,17.48,2.0,3.83,1.23,0.445,0.24,0.255,81.885,139.125,76.32,,,,,,,,,,,,,,,,,6.3,5.65
143,Spencer Strider,ATL,27498,675911.0,464.0,111.5,20.0,85.84,47.53,8.0,9.0,0.0,44.0,14.0,1.1,0.32,11.9,148.0,37.0,3.0,0.08,4.0,54.28,16.560000000000002,1.0,3.55,1.1,0.388,0.241,0.288,76.44600000000001,114.111,67.09949999999999,,,,,,,,,,,,,,,,,9.83,7.79
144,Matthew Boyd,CHC,15440,571510.0,465.0,110.5,20.0,90.52000000000001,49.47,7.0,8.2,0.0,46.0,14.0,1.1,0.262,9.9,122.0,37.0,3.0,0.079,4.0,57.96,16.560000000000002,2.0,3.75,1.15,0.361,0.238,0.307,86.75099999999999,121.02299999999998,73.134,,,,,,,,,,,,,,,,,7.6,6.46
145,Lance Lynn,FA,2520,458681.0,478.0,109.7,20.0,101.96000000000001,58.199999999999996,7.0,9.0,0.0,54.0,20.0,1.6,0.222,8.7,106.0,40.0,3.3,0.084,6.0,63.480000000000004,17.48,1.0,4.43,1.29,0.387,0.241,0.288,90.968,135.62199999999999,79.846,,,,,,,,,,,,,,,,,1.0,4.05
146,Reid Detmers,LAA,27468,672282.0,467.0,109.1,19.0,89.68,52.379999999999995,6.0,7.8,0.0,48.0,15.0,1.2,0.267,10.3,125.0,43.0,3.5,0.093,7.0,56.120000000000005,16.560000000000002,2.0,3.96,1.22,0.381,0.242,0.292,82.524,121.24449999999999,72.059,,,,,,,,,,,,,,,,,1.0,5.55
147,Max Scherzer,TOR,3137,453286.0,457.0,108.6,19.0,95.28,51.41,8.0,11.4,0.0,47.0,17.0,1.4,0.237,9.0,108.0,29.0,2.4,0.064,5.0,58.88,18.400000000000002,1.0,3.9,1.14,0.329,0.238,0.328,94.08000000000001,121.44,76.47999999999999,,,,,,,,,,,,,,,,,7.36,6.33
148,Rhett Lowder,CIN,33876,695076.0,481.0,108.5,18.0,104.56,57.23,5.0,6.1,0.0,53.0,17.0,1.4,0.197,7.9,95.0,43.0,3.6,0.09,0.0,65.32000000000001,20.240000000000002,2.0,4.4,1.36,0.424,0.244,0.264,89.866,146.46099999999998,83.006,,,,,,,,,,,,,,,,,1.0,3.19
149,Chris Paddack,MIN,20099,663978.0,459.0,107.9,15.0,100.72,50.44,4.0,5.1,0.0,47.0,15.0,1.3,0.217,8.3,100.0,27.0,2.3,0.058,2.0,63.480000000000004,20.240000000000002,2.0,3.92,1.18,0.424,0.244,0.264,86.98400000000001,141.764,80.344,,,,,,,,,,,,,,,,,1.0,5.34
150,Joey Estes,OAK,26257,683155.0,452.0,107.4,18.0,97.2,53.35,6.0,7.1,0.0,49.0,17.0,1.4,0.186,7.0,84.0,26.0,2.2,0.057,10.0,58.88,19.32,2.0,4.11,1.15,0.268,0.223,0.371,107.901,119.35799999999999,79.17299999999999,,,,,,,,,,,,,,,,,1.0,5.24
151,David Festa,MIN,30056,701581.0,450.0,106.0,17.0,88.68,49.47,5.0,4.7,0.0,46.0,14.0,1.2,0.268,10.3,121.0,37.0,3.1,0.083,3.0,55.2,17.48,2.0,3.91,1.19,0.403,0.243,0.277,78.402,121.618,70.518,,,,,,,,,,,,,,,,,6.39,5.69
152,Michael Soroka,WSH,18383,647336.0,466.0,105.4,14.0,92.36,54.32,3.0,4.0,0.0,50.0,14.0,1.2,0.231,9.2,108.0,51.0,4.4,0.109,7.0,58.88,17.48,2.0,4.27,1.36,0.404,0.243,0.277,82.4295,128.019,74.1405,,,,,,,,,,,,,,,,,1.0,3.37
153,Jordan Montgomery,ARI,16511,656756.0,462.0,105.1,16.0,104.32000000000001,53.35,6.0,7.7,0.0,49.0,13.0,1.1,0.183,7.3,85.0,34.0,2.9,0.073,3.0,66.24000000000001,22.080000000000002,3.0,4.2,1.32,0.455,0.239,0.245,86.6075,151.7775,82.1485,,,,,,,,,,,,,,,,,1.0,4.01
154,Hayden Birdsong,SF,31635,806185.0,465.0,104.6,18.0,86.68,53.35,4.0,3.3,0.0,49.0,12.0,1.0,0.269,10.8,125.0,59.0,5.1,0.126,6.0,55.2,17.48,2.0,4.22,1.39,0.427,0.242,0.263,73.4815,120.4085,67.721,,,,,,,,,,,,,,,,,1.0,3.71
155,Jack Leiter,TEX,30146,683004.0,454.0,104.0,16.0,96.2,54.32,4.0,4.2,0.0,50.0,16.0,1.4,0.213,8.4,97.0,39.0,3.4,0.087,8.0,59.800000000000004,18.400000000000002,2.0,4.33,1.3,0.387,0.241,0.288,87.132,129.903,76.479,,,,,,,,,,,,,,,,,1.0,3.74
156,Kris Bubic,KC,21455,663460.0,456.0,103.9,15.0,95.88,50.44,5.0,5.6,0.0,47.0,12.0,1.0,0.213,8.4,97.0,41.0,3.6,0.09,3.0,62.56,19.32,2.0,4.07,1.32,0.486,0.239,0.22,76.32,145.64399999999998,76.161,,,,,,,,,,,,,,,,,1.0,4.28
157,Steven Matz,STL,13361,571927.0,451.0,103.1,17.0,100.56,51.41,5.0,5.9,0.0,47.0,14.0,1.2,0.192,7.6,87.0,33.0,2.9,0.074,4.0,65.32000000000001,20.240000000000002,1.0,4.1,1.3,0.433,0.243,0.258,85.729,142.8265,79.9365,,,,,,,,,,,,,,,,,1.0,4.23
158,Triston McKenzie,CLE,18000,663474.0,440.0,102.7,17.0,85.92,48.5,6.0,7.8,0.0,45.0,14.0,1.2,0.242,9.3,106.0,40.0,3.5,0.092,2.0,52.440000000000005,17.48,2.0,3.94,1.23,0.339,0.236,0.322,85.55400000000002,113.043,69.972,,,,,,,,,,,,,,,,,1.0,5.37
159,Paul Blackburn,NYM,14739,621112.0,448.0,102.5,14.0,98.80000000000001,51.41,5.0,5.5,0.0,47.0,15.0,1.3,0.203,8.0,91.0,34.0,3.0,0.076,4.0,64.4,18.400000000000002,1.0,4.13,1.3,0.464,0.241,0.236,80.104,144.381,77.6815,,,,,,,,,,,,,,,,,1.0,4.17
160,Alec Marsh,KC,27451,679525.0,443.0,102.4,17.0,92.36,51.41,5.0,5.4,0.0,47.0,13.0,1.1,0.232,9.1,103.0,37.0,3.3,0.084,10.0,57.96,18.400000000000002,3.0,4.13,1.26,0.404,0.243,0.277,81.3555,126.35100000000001,73.1745,,,,,,,,,,,,,,,,,1.0,4.51
161,Osvaldo Bido,OAK,23150,674370.0,427.0,99.0,14.0,84.92,50.44,4.0,4.1,0.0,47.0,13.0,1.2,0.231,9.0,99.0,39.0,3.5,0.092,13.0,52.440000000000005,17.48,2.0,4.27,1.25,0.339,0.237,0.322,84.099,111.1205,68.92649999999999,,,,,,,,,,,,,,,,,1.0,4.22
162,Cody Bradford,TEX,27597,674003.0,412.0,98.9,13.0,87.84,44.62,4.0,5.0,0.0,41.0,15.0,1.4,0.225,8.5,93.0,21.0,1.9,0.05,2.0,54.28,16.560000000000002,2.0,3.73,1.1,0.358,0.236,0.309,84.78099999999999,117.412,70.92399999999999,,,,,,,,,,,,,,,,,6.84,6.1
163,Hayden Wesneski,HOU,27581,669713.0,410.0,95.0,12.0,86.84,47.53,4.0,4.4,0.0,44.0,15.0,1.4,0.23,8.9,94.0,32.0,3.0,0.078,4.0,54.28,16.560000000000002,1.0,4.17,1.25,0.423,0.244,0.264,74.408,121.12599999999999,68.728,,,,,,,,,,,,,,,,,1.0,4.38
164,Frankie Montas,NYM,14309,593423.0,406.0,94.2,18.0,84.92,46.56,7.0,9.4,0.0,43.0,14.0,1.3,0.236,9.2,96.0,32.0,3.1,0.08,4.0,54.28,15.64,1.0,4.11,1.24,0.445,0.241,0.251,71.029,121.625,66.859,,,,,,,,,,,,,,,,,1.0,4.94
165,Ryne Nelson,ARI,26253,669194.0,401.0,93.9,11.0,88.60000000000001,44.62,4.0,5.0,0.0,41.0,12.0,1.2,0.192,7.4,77.0,24.0,2.3,0.061,2.0,55.2,18.400000000000002,3.0,3.93,1.2,0.404,0.243,0.277,80.55000000000001,125.10000000000001,72.45,,,,,,,,,,,,,,,,,1.0,4.94
166,Yariel Rodriguez,TOR,33838,684320.0,410.0,93.1,12.0,82.16,47.53,3.0,2.7,0.0,44.0,14.0,1.4,0.23,9.1,94.0,42.0,4.1,0.103,3.0,50.6,16.560000000000002,1.0,4.25,1.33,0.373,0.24,0.299,76.583,110.011,65.75999999999999,,,,,,,,,,,,,,,,,1.0,3.62
167,Tony Gonsolin,LAD,19388,664062.0,401.0,92.5,14.0,81.16,45.589999999999996,6.0,5.9,0.0,42.0,13.0,1.3,0.227,8.9,91.0,36.0,3.5,0.091,5.0,51.52,15.64,1.0,4.09,1.27,0.402,0.243,0.277,73.569,113.98400000000001,66.17099999999999,,,,,,,,,,,,,,,,,1.0,4.61
168,Jack Kochanowicz,LAA,27688,686799.0,402.0,92.1,14.0,102.48,50.44,5.0,6.6,0.0,47.0,14.0,1.4,0.121,4.8,49.0,17.0,1.7,0.043,12.0,68.08,18.400000000000002,2.0,4.59,1.3,0.565,0.22,0.179,73.752,167.15999999999997,77.28,,,,,,,,,,,,,,,,,1.0,3.05
169,Bryse Wilson,CWS,19990,669060.0,397.0,91.4,11.0,86.68,45.589999999999996,3.0,4.4,0.0,42.0,13.0,1.3,0.194,7.6,77.0,29.0,2.9,0.072,5.0,56.120000000000005,16.560000000000002,1.0,4.14,1.27,0.406,0.243,0.276,77.988,121.638,70.2765,,,,,,,,,,,,,,,,,1.0,4.0
170,Joey Cantillo,CLE,23335,676282.0,386.0,90.3,14.0,76.4,40.74,4.0,3.7,0.0,38.0,11.0,1.1,0.249,9.6,96.0,33.0,3.3,0.085,0.0,48.760000000000005,15.64,1.0,3.79,1.21,0.443,0.241,0.253,65.9205,112.1805,61.808499999999995,,,,,,,,,,,,,,,,,1.0,5.24
171,Luis Garcia,HOU,23735,677651.0,378.0,89.4,13.0,74.64,39.769999999999996,5.0,5.6,7.0,37.0,12.0,1.2,0.255,9.7,96.0,29.0,2.9,0.076,1.0,46.92,14.72,1.0,3.72,1.16,0.367,0.239,0.302,71.093,100.8205,60.5935,,,,,,,,,,,,,,,,,1.0,6.37
172,Alex Cobb,DET,6562,502171.0,382.0,89.4,17.0,81.0,40.74,5.0,8.0,0.0,38.0,10.0,1.0,0.223,8.6,85.0,27.0,2.7,0.071,3.0,54.28,14.72,2.0,3.83,1.21,0.591,0.207,0.171,58.18500000000001,137.83499999999998,60.34499999999999,,,,,,,,,,,,,,,,,1.0,5.2
173,Griffin Canning,NYM,19867,656288.0,390.0,89.4,12.0,84.0,45.589999999999996,4.0,5.1,0.0,42.0,14.0,1.4,0.207,8.2,81.0,32.0,3.2,0.081,3.0,53.36,15.64,1.0,4.23,1.3,0.421,0.244,0.266,72.851,117.8635,67.03399999999999,,,,,,,,,,,,,,,,,1.0,3.85
174,Drew Thorpe,CWS,31967,689672.0,386.0,87.8,16.0,82.08000000000001,44.62,5.0,9.1,0.0,41.0,13.0,1.3,0.2,7.9,77.0,35.0,3.6,0.091,2.0,52.440000000000005,15.64,1.0,4.2,1.33,0.39,0.241,0.287,74.939,112.34,65.89699999999999,,,,,,,,,,,,,,,,,1.0,3.9
175,Patrick Corbin,FA,9323,571578.0,384.0,86.4,16.0,89.60000000000001,46.56,5.0,7.5,0.0,43.0,14.0,1.5,0.182,7.3,70.0,28.0,2.9,0.072,2.0,56.120000000000005,17.48,2.0,4.48,1.36,0.463,0.24,0.238,71.214,127.699,68.64,,,,,,,,,,,,,,,,,1.0,3.15
176,Cade Povich,BAL,30055,700249.0,374.0,85.2,15.0,80.32,44.62,5.0,5.4,0.0,41.0,13.0,1.4,0.203,8.0,76.0,34.0,3.6,0.091,3.0,49.68,15.64,2.0,4.33,1.34,0.358,0.236,0.309,75.10799999999999,104.016,62.831999999999994,,,,,,,,,,,,,,,,,1.0,3.61
177,J.T. Ginn,OAK,27889,669372.0,364.0,84.0,13.0,78.24000000000001,40.74,4.0,4.2,0.0,38.0,11.0,1.2,0.197,7.7,72.0,27.0,2.9,0.073,5.0,50.6,15.64,1.0,4.07,1.25,0.45,0.239,0.248,67.31,116.6,63.467499999999994,,,,,,,,,,,,,,,,,1.0,4.35
178,Kyle Wright,KC,19665,657140.0,361.0,83.5,12.0,75.4,39.769999999999996,5.0,6.6,0.0,37.0,10.0,1.1,0.231,8.9,83.0,29.0,3.1,0.081,5.0,49.68,14.72,1.0,3.99,1.25,0.561,0.22,0.183,55.1535,123.37950000000001,57.269999999999996,,,,,,,,,,,,,,,,,1.0,4.82
179,Shane Bieber,CLE,19427,669456.0,346.0,82.6,14.0,69.80000000000001,34.92,6.0,9.4,0.0,32.0,9.0,1.0,0.246,9.3,85.0,23.0,2.5,0.066,1.0,45.080000000000005,14.72,1.0,3.49,1.12,0.477,0.239,0.228,58.071999999999996,107.933,57.001,,,,,,,,,,,,,,,,,1.0,6.38
180,Ian Anderson,ATL,19951,666120.0,366.0,82.1,15.0,77.32000000000001,41.71,6.0,6.2,0.0,38.0,11.0,1.2,0.215,8.7,79.0,37.0,4.1,0.102,1.0,50.6,14.72,1.0,4.17,1.39,0.493,0.237,0.216,59.5,115.375,59.625,,,,,,,,,,,,,,,,,1.0,3.82
181,Tylor Megill,NYM,21318,656731.0,354.0,81.2,9.0,70.8,39.769999999999996,3.0,3.2,0.0,37.0,10.0,1.1,0.24,9.4,85.0,34.0,3.8,0.095,4.0,46.0,13.8,1.0,4.1,1.29,0.445,0.241,0.251,60.042500000000004,102.8125,56.5175,,,,,,,,,,,,,,,,,1.0,4.09
182,Cade Cavalli,WSH,27473,676917.0,334.0,79.7,12.0,56.84,33.949999999999996,4.0,4.9,0.0,31.0,8.0,0.9,0.335,12.6,112.0,34.0,3.8,0.101,4.0,36.800000000000004,11.040000000000001,1.0,3.5,1.14,0.445,0.24,0.255,48.410000000000004,82.25,45.12,,,,,,,,,,,,,,,,,1.0,6.24
183,Aaron Ashby,MIL,23550,676879.0,340.0,79.0,9.0,66.12,35.89,3.0,2.8,0.0,33.0,9.0,1.0,0.255,9.9,87.0,31.0,3.5,0.09,3.0,44.160000000000004,11.96,1.0,3.76,1.23,0.578,0.217,0.173,48.063,111.888,50.727,,,,,,,,,,,,,,,,,1.0,4.96
184,Zebby Matthews,MIN,31827,805673.0,336.0,78.5,12.0,70.88,37.83,4.0,4.4,0.0,35.0,11.0,1.3,0.234,9.1,79.0,25.0,2.9,0.075,4.0,44.160000000000004,14.72,1.0,4.01,1.22,0.408,0.244,0.274,61.944,97.208,56.144,,,,,,,,,,,,,,,,,1.0,4.6
185,Matt Waldron,SD,25550,663362.0,329.0,76.8,12.0,71.88,37.83,4.0,4.7,0.0,35.0,12.0,1.4,0.207,8.0,68.0,22.0,2.6,0.067,5.0,46.0,12.88,1.0,4.1,1.22,0.388,0.241,0.288,65.486,97.751,57.479499999999994,,,,,,,,,,,,,,,,,1.0,4.46
186,Albert Suarez,BAL,6175,544150.0,323.0,74.7,5.0,68.96000000000001,35.89,2.0,1.8,0.0,33.0,10.0,1.2,0.201,7.8,65.0,25.0,3.0,0.076,2.0,44.160000000000004,13.8,1.0,3.98,1.26,0.378,0.24,0.296,64.774,94.132,55.919999999999995,,,,,,,,,,,,,,,,,1.0,4.19
187,Eury Perez,MIA,27768,691587.0,313.0,74.5,14.0,58.84,32.98,3.0,3.8,0.0,30.0,10.0,1.2,0.277,10.5,87.0,26.0,3.1,0.083,2.0,35.88,11.96,1.0,3.62,1.14,0.304,0.228,0.342,60.20000000000001,73.4,46.8,,,,,,,,,,,,,,,,,1.0,5.48
188,Matthew Liberatore,STL,22294,669461.0,322.0,73.5,4.0,70.8,36.86,1.0,1.8,3.0,34.0,10.0,1.2,0.203,8.0,65.0,25.0,3.1,0.077,3.0,46.0,13.8,1.0,4.16,1.3,0.43,0.242,0.261,60.436,99.76,55.912,,,,,,,,,,,,,,,,,1.0,3.89
189,Randy Vasquez,SD,24719,681190.0,324.0,73.4,12.0,72.72,38.8,4.0,4.1,0.0,36.0,11.0,1.3,0.168,6.6,54.0,25.0,3.1,0.077,5.0,46.92,13.8,1.0,4.41,1.33,0.406,0.243,0.276,65.66000000000001,102.41000000000001,59.1675,,,,,,,,,,,,,,,,,1.0,3.3
