,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,Unnamed: 0,System,ADP,xMLBAMID,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,FIP,MLBID,$,Deep $
52,Nathan Eovaldi,TEX,9132,543135.0,682.0,158.6,27.0,148.28,76.63,11.0,15.5,0.0,71.0,22.0,1.2,0.234,9.1,160.0,47.0,2.7,0.069,6.0,95.68,27.6,3.0,4.03,1.23,0.493,0.236,0.215,112.8125,219.2125,113.05,,,,,,,,,,,,,,,,,7.76,6.36
53,Joe Ryan,MIN,21390,657746.0,651.0,158.5,27.0,132.64000000000001,69.84,9.0,12.1,0.0,64.0,23.0,1.3,0.273,10.1,178.0,33.0,1.9,0.05,8.0,81.88000000000001,25.76,2.0,3.63,1.05,0.322,0.237,0.332,130.24,165.44,104.94,,,,,,,,,,,,,,,,,12.18,9.14
54,Blake Snell,LAD,13543,605483.0,666.0,158.0,28.0,110.92,65.96,12.0,12.3,0.0,61.0,16.0,0.9,0.325,12.3,216.0,73.0,4.2,0.11,2.0,71.76,21.16,2.0,3.47,1.16,0.418,0.243,0.268,99.528,159.84799999999998,91.0455,,,,,,,,,,,,,,,,,12.6,9.32
55,Gerrit Cole,NYY,13125,543037.0,659.0,157.1,26.0,133.48000000000002,70.81,12.0,16.1,0.0,65.0,22.0,1.3,0.255,9.6,168.0,45.0,2.6,0.068,5.0,84.64,24.84,2.0,3.72,1.14,0.408,0.244,0.274,119.08200000000001,186.874,107.932,,,,,,,,,,,,,,,,,10.86,8.33
56,Ranger Suarez,PHI,17277,624133.0,674.0,156.5,27.0,144.28,73.72,11.0,14.0,0.0,68.0,19.0,1.1,0.228,8.9,154.0,49.0,2.8,0.073,3.0,93.84,29.44,2.0,3.91,1.24,0.522,0.226,0.205,109.5075,224.196,109.743,,,,,,,,,,,,,,,,,7.87,6.47
57,Hunter Greene,CIN,22182,668881.0,663.0,156.0,26.0,125.28,76.63,9.0,11.5,0.0,71.0,23.0,1.3,0.278,10.6,184.0,61.0,3.5,0.092,15.0,75.44,24.84,2.0,4.1,1.19,0.345,0.235,0.319,121.011,161.975,99.27499999999999,,,,,,,,,,,,,,,,,8.06,6.45
58,Ronel Blanco,HOU,19407,669854.0,680.0,155.7,28.0,131.56,76.63,10.0,12.4,0.0,71.0,21.0,1.2,0.238,9.4,162.0,71.0,4.1,0.104,4.0,83.72,24.84,2.0,4.1,1.3,0.378,0.24,0.296,124.266,180.58800000000002,107.28,,,,,,,,,,,,,,,,,6.16,5.34
59,Ryan Pepiot,TB,26221,686752.0,651.0,155.4,28.0,127.12,71.78,8.0,9.4,0.0,66.0,22.0,1.3,0.253,9.6,165.0,49.0,2.8,0.076,10.0,78.2,23.92,3.0,3.82,1.13,0.338,0.235,0.322,127.16700000000002,167.808,103.7875,,,,,,,,,,,,,,,,,9.43,7.44
60,Jonathan Cannon,CWS,31730,686563.0,677.0,155.0,26.0,148.2,77.6,7.0,10.2,0.0,72.0,22.0,1.3,0.19,7.5,129.0,53.0,3.1,0.078,5.0,95.68,28.52,2.0,4.18,1.3,0.403,0.243,0.277,132.9075,206.1675,119.54249999999999,,,,,,,,,,,,,,,,,1.0,4.36
61,Brayan Bello,BOS,23920,678394.0,683.0,153.9,28.0,154.8,83.42,9.0,11.4,0.0,77.0,23.0,1.3,0.213,8.5,145.0,57.0,3.3,0.083,8.0,96.60000000000001,32.2,3.0,4.5,1.38,0.532,0.231,0.196,109.668,231.361,113.2755,,,,,,,,,,,,,,,,,2.69,3.15
62,Garrett Crochet,BOS,27463,676979.0,638.0,153.6,30.0,124.80000000000001,64.99,10.0,10.5,0.0,60.0,17.0,1.0,0.305,11.4,195.0,42.0,2.5,0.066,6.0,80.04,25.76,2.0,3.52,1.09,0.451,0.239,0.247,99.047,180.851,95.839,,,,,,,,,,,,,,,,,12.72,9.46
63,Yoshinobu Yamamoto,LAD,33825,808967.0,632.0,152.1,27.0,125.80000000000001,64.02,11.0,11.3,0.0,59.0,18.0,1.1,0.274,10.2,173.0,40.0,2.4,0.064,2.0,81.88000000000001,23.92,2.0,3.49,1.09,0.5,0.233,0.214,99.303,194.83499999999998,99.09349999999999,,,,,,,,,,,,,,,,,12.33,9.29
64,Kyle Freeland,COL,16256,607536.0,664.0,151.9,27.0,156.8,79.53999999999999,8.0,12.5,0.0,73.0,23.0,1.4,0.171,6.8,114.0,40.0,2.4,0.06,6.0,98.44,30.360000000000003,5.0,4.33,1.3,0.418,0.243,0.268,134.64000000000001,216.23999999999998,123.16499999999999,,,,,,,,,,,,,,,,,1.0,3.99
65,Kodai Senga,NYM,31838,673540.0,656.0,151.6,26.0,125.96000000000001,72.75,11.0,14.0,0.0,67.0,20.0,1.2,0.271,10.6,178.0,66.0,3.9,0.1,6.0,80.96000000000001,23.0,2.0,3.98,1.27,0.419,0.243,0.267,108.56200000000001,174.894,99.49799999999999,,,,,,,,,,,,,,,,,7.85,6.37
66,Grayson Rodriguez,BAL,24492,680570.0,642.0,150.8,27.0,131.56,70.81,9.0,11.0,0.0,65.0,20.0,1.2,0.255,9.8,164.0,49.0,2.9,0.077,4.0,83.72,24.84,3.0,3.88,1.2,0.44,0.242,0.254,110.253,186.615,103.389,,,,,,,,,,,,,,,,,8.5,6.85
67,Austin Gomber,COL,16561,596295.0,669.0,150.6,27.0,164.32,83.42,8.0,13.0,0.0,77.0,25.0,1.5,0.169,6.8,113.0,42.0,2.5,0.063,2.0,102.12,32.2,5.0,4.6,1.37,0.424,0.244,0.264,134.668,219.478,124.38799999999999,,,,,,,,,,,,,,,,,1.0,2.57
68,Merrill Kelly,ARI,11156,518876.0,646.0,150.4,26.0,137.0,70.81,11.0,14.8,0.0,65.0,19.0,1.1,0.226,8.7,146.0,48.0,2.9,0.075,3.0,88.32000000000001,26.68,3.0,3.89,1.23,0.434,0.242,0.258,117.068,195.264,108.932,,,,,,,,,,,,,,,,,7.87,6.51
69,Charlie Morton,BAL,4676,450203.0,656.0,150.1,27.0,133.32,76.63,10.0,13.4,0.0,71.0,20.0,1.2,0.242,9.5,159.0,63.0,3.8,0.096,15.0,87.4,23.92,2.0,4.26,1.31,0.459,0.24,0.242,108.934,192.913,104.16,,,,,,,,,,,,,,,,,1.0,4.8
70,Nick Pivetta,SD,15454,601713.0,618.0,148.9,27.0,119.44,64.02,9.0,11.8,0.0,59.0,20.0,1.2,0.285,10.6,176.0,43.0,2.6,0.069,4.0,76.36,22.080000000000002,1.0,3.57,1.09,0.387,0.241,0.289,109.52549999999998,162.9915,95.95949999999999,,,,,,,,,,,,,,,,,11.6,8.81
71,Sean Manaea,NYM,15873,640455.0,638.0,148.8,26.0,127.88000000000001,70.81,11.0,13.5,0.0,65.0,21.0,1.3,0.249,9.6,159.0,54.0,3.3,0.084,7.0,81.88000000000001,23.0,2.0,3.93,1.22,0.397,0.241,0.282,115.17500000000001,175.73749999999998,102.21249999999999,,,,,,,,,,,,,,,,,8.24,6.68
72,Shane McClanahan,TB,21483,663556.0,618.0,148.5,25.0,121.28,64.02,9.0,11.7,0.0,59.0,19.0,1.2,0.281,10.5,174.0,43.0,2.6,0.07,2.0,77.28,23.0,2.0,3.58,1.11,0.483,0.24,0.222,96.64099999999999,183.0565,96.24,,,,,,,,,,,,,,,,,11.14,8.52
73,Brandon Pfaadt,ARI,27782,694297.0,620.0,147.3,25.0,131.64000000000001,67.89999999999999,10.0,12.6,0.0,63.0,20.0,1.2,0.236,8.9,146.0,37.0,2.3,0.06,4.0,80.96000000000001,26.68,4.0,3.85,1.14,0.392,0.241,0.286,119.301,179.60700000000003,105.0985,,,,,,,,,,,,,,,,,9.08,7.27
